emission_record_id,date_key,business_unit_id,facility_id,supplier_id,activity_id,scope,ghg_category,activity_volume,activity_unit,emission_factor,emissions_tco2e,spend_usd,revenue_usd,data_quality_score
E000203,202405,BU05,F08,S001,A05,Scope 2,Purchased energy,92.74,MWh,0.2341,19.76,7612.42,1859736.38,0.74
E000204,202405,BU05,F08,S012,A08,Scope 3,Business travel,327.12,passenger-km thousand,0.1201,39.98,96270.52,1859736.38,0.75
E000205,202405,BU05,F08,S017,A09,Scope 3,Waste,454.46,tonnes waste,0.476,343.78,87679.71,1859736.38,0.77
E000206,202406,BU01,F01,DIRECT,A01,Scope 1,Stationary combustion,1994.35,MWh thermal,0.1812,365.87,192164.78,7299820.59,0.89
E000207,202406,BU01,F01,DIRECT,A03,Scope 1,Fugitive emissions,217.91,kg refrigerant,1.1591,255.66,18368.41,7299820.59,0.87
E000208,202406,BU01,F01,S009,A04,Scope 2,Electricity,899.49,MWh,0.3979,323.74,101742.35,7299820.59,0.97
E000209,202406,BU01,F01,S021,A06,Scope 3,Purchased goods and services,1859.6,USD thousand spend,0.5454,1276.47,347539.92,7299820.59,0.97
E000210,202406,BU01,F01,S002,A06,Scope 3,Purchased goods and services,3610.4,USD thousand spend,0.5961,3399.39,1142624.21,7299820.59,0.71
E000211,202406,BU01,F01,S016,A09,Scope 3,Waste,698.46,tonnes waste,0.4877,538.03,168450.67,7299820.59,0.77
E000212,202406,BU02,F02,DIRECT,A02,Scope 1,Mobile combustion,1162.17,kiloliters,2.876,3383.14,129278.16,4906176.11,0.75
E000213,202406,BU02,F02,S001,A04,Scope 2,Electricity,1017.45,MWh,0.5524,508.4,90923.7,4906176.11,0.93
E000214,202406,BU02,F02,S019,A07,Scope 3,Transportation and distribution,1530.01,ton-km thousand,0.1904,366.67,958248.19,4906176.11,0.74
E000215,202406,BU02,F02,S002,A07,Scope 3,Transportation and distribution,1136.2,ton-km thousand,0.1621,290.86,209531.01,4906176.11,0.94
E000216,202406,BU02,F02,S022,A09,Scope 3,Waste,631.38,tonnes waste,0.543,431.53,399693.07,4906176.11,0.74
E000217,202406,BU02,F03,DIRECT,A02,Scope 1,Mobile combustion,1594.94,kiloliters,2.9283,4727.45,137526.7,5371443.59,0.9
E000218,202406,BU02,F03,S014,A04,Scope 2,Electricity,485.74,MWh,0.5094,280.89,87416.1,5371443.59,0.71
E000219,202406,BU02,F03,S023,A07,Scope 3,Transportation and distribution,594.08,ton-km thousand,0.1685,158.08,164278.03,5371443.59,0.86
E000220,202406,BU02,F03,S019,A07,Scope 3,Transportation and distribution,1504.61,ton-km thousand,0.1443,273.25,587176.07,5371443.59,0.71
E000221,202406,BU02,F03,S016,A09,Scope 3,Waste,1614.1,tonnes waste,0.554,1412.45,939080.27,5371443.59,0.93
E000222,202406,BU01,F04,DIRECT,A01,Scope 1,Stationary combustion,1098.54,MWh thermal,0.1699,188.92,206352.44,6542025.84,0.79
E000223,202406,BU01,F04,DIRECT,A03,Scope 1,Fugitive emissions,165.87,kg refrigerant,1.2514,210.1,28540.0,6542025.84,0.71
E000224,202406,BU01,F04,S020,A04,Scope 2,Electricity,1844.2,MWh,0.4466,598.92,229674.97,6542025.84,0.91
E000225,202406,BU01,F04,S002,A06,Scope 3,Purchased goods and services,3595.14,USD thousand spend,0.4713,2675.87,1108228.82,6542025.84,0.87
E000226,202406,BU01,F04,S015,A06,Scope 3,Purchased goods and services,2102.53,USD thousand spend,0.5858,1550.12,292503.08,6542025.84,0.71
E000227,202406,BU01,F04,S023,A09,Scope 3,Waste,1524.59,tonnes waste,0.5821,1401.58,932530.13,6542025.84,0.94
E000228,202406,BU02,F05,DIRECT,A02,Scope 1,Mobile combustion,1703.54,kiloliters,2.2674,3909.7,262192.03,5664229.26,0.87
E000229,202406,BU02,F05,S002,A04,Scope 2,Electricity,1666.5,MWh,0.4437,839.46,213840.1,5664229.26,0.96
E000230,202406,BU02,F05,S015,A07,Scope 3,Transportation and distribution,1373.46,ton-km thousand,0.1314,227.14,606278.91,5664229.26,0.87
E000231,202406,BU02,F05,S021,A07,Scope 3,Transportation and distribution,418.69,ton-km thousand,0.1351,71.2,152573.09,5664229.26,0.8
E000232,202406,BU02,F05,S014,A09,Scope 3,Waste,726.87,tonnes waste,0.4831,554.56,356017.91,5664229.26,0.87
E000233,202406,BU05,F06,S023,A04,Scope 2,Electricity,559.57,MWh,0.4251,270.03,48171.31,1896988.47,0.95
E000234,202406,BU05,F06,S021,A05,Scope 2,Purchased energy,540.38,MWh,0.1755,85.78,101258.63,1896988.47,0.86
E000235,202406,BU05,F06,S015,A08,Scope 3,Business travel,538.26,passenger-km thousand,0.1477,100.06,283801.8,1896988.47,0.86
E000236,202406,BU05,F06,S021,A09,Scope 3,Waste,543.63,tonnes waste,0.5273,360.78,198362.6,1896988.47,0.79
E000237,202406,BU04,F07,S002,A04,Scope 2,Electricity,213.49,MWh,0.5482,132.85,36872.63,2915248.34,0.97
E000238,202406,BU04,F07,S023,A05,Scope 2,Purchased energy,961.82,MWh,0.2111,230.47,123873.37,2915248.34,0.8
E000239,202406,BU04,F07,S010,A06,Scope 3,Purchased goods and services,2176.12,USD thousand spend,0.6329,2175.21,766841.18,2915248.34,0.9
E000240,202406,BU04,F07,S010,A06,Scope 3,Purchased goods and services,764.1,USD thousand spend,0.6228,751.56,216586.38,2915248.34,0.79
E000241,202406,BU04,F07,S010,A08,Scope 3,Business travel,690.95,passenger-km thousand,0.126,137.52,304394.55,2915248.34,0.9
E000242,202406,BU04,F07,S008,A09,Scope 3,Waste,731.76,tonnes waste,0.4778,353.8,387460.97,2915248.34,0.94
E000243,202406,BU05,F08,S016,A04,Scope 2,Electricity,386.06,MWh,0.4459,195.4,61594.09,1860667.53,0.94
E000244,202406,BU05,F08,S015,A05,Scope 2,Purchased energy,355.32,MWh,0.191,61.4,48449.53,1860667.53,0.94
E000245,202406,BU05,F08,S017,A08,Scope 3,Business travel,127.35,passenger-km thousand,0.1403,28.22,51639.12,1860667.53,0.71
E000246,202406,BU05,F08,S017,A09,Scope 3,Waste,477.06,tonnes waste,0.519,391.08,226576.77,1860667.53,0.87
E000247,202407,BU01,F01,DIRECT,A01,Scope 1,Stationary combustion,1986.78,MWh thermal,0.1993,398.4,310078.9,6688392.3,0.97
E000248,202407,BU01,F01,DIRECT,A03,Scope 1,Fugitive emissions,101.39,kg refrigerant,1.294,131.97,7851.13,6688392.3,0.76
E000249,202407,BU01,F01,S003,A04,Scope 2,Electricity,1996.32,MWh,0.5155,925.12,325585.87,6688392.3,0.7
E000250,202407,BU01,F01,S012,A06,Scope 3,Purchased goods and services,2294.76,USD thousand spend,0.6001,1384.6,1104635.98,6688392.3,0.86
E000251,202407,BU01,F01,S019,A06,Scope 3,Purchased goods and services,1146.34,USD thousand spend,0.4729,678.01,333533.72,6688392.3,0.89
E000252,202407,BU01,F01,S022,A09,Scope 3,Waste,1788.05,tonnes waste,0.5637,1260.76,1296035.51,6688392.3,0.8
E000253,202407,BU02,F02,DIRECT,A02,Scope 1,Mobile combustion,1624.19,kiloliters,2.8674,4684.74,297509.18,5989261.77,0.89
E000254,202407,BU02,F02,S003,A04,Scope 2,Electricity,1615.88,MWh,0.4697,682.36,123027.67,5989261.77,0.81
E000255,202407,BU02,F02,S022,A07,Scope 3,Transportation and distribution,1413.31,ton-km thousand,0.1641,289.99,271211.62,5989261.77,0.71
E000256,202407,BU02,F02,S021,A07,Scope 3,Transportation and distribution,642.84,ton-km thousand,0.1558,125.25,131181.41,5989261.77,0.91
E000257,202407,BU02,F02,S008,A09,Scope 3,Waste,883.77,tonnes waste,0.5686,505.32,237852.16,5989261.77,0.79
E000258,202407,BU02,F03,DIRECT,A02,Scope 1,Mobile combustion,898.83,kiloliters,2.9631,2679.06,118648.31,5809862.68,0.86
E000259,202407,BU02,F03,S008,A04,Scope 2,Electricity,1491.88,MWh,0.4155,447.97,132871.99,5809862.68,0.7
E000260,202407,BU02,F03,S003,A07,Scope 3,Transportation and distribution,1659.4,ton-km thousand,0.1449,300.79,725192.58,5809862.68,0.85
E000261,202407,BU02,F03,S019,A07,Scope 3,Transportation and distribution,470.64,ton-km thousand,0.1525,89.77,139997.36,5809862.68,0.71
E000262,202407,BU02,F03,S021,A09,Scope 3,Waste,486.29,tonnes waste,0.424,257.87,227826.26,5809862.68,0.88
E000263,202407,BU01,F04,DIRECT,A01,Scope 1,Stationary combustion,1273.35,MWh thermal,0.164,210.1,142649.6,6421337.2,0.8
E000264,202407,BU01,F04,DIRECT,A03,Scope 1,Fugitive emissions,235.06,kg refrigerant,1.2243,289.49,36876.15,6421337.2,0.78
E000265,202407,BU01,F04,S014,A04,Scope 2,Electricity,488.24,MWh,0.3794,208.99,38202.47,6421337.2,0.94
E000266,202407,BU01,F04,S005,A06,Scope 3,Purchased goods and services,1460.55,USD thousand spend,0.6187,1130.19,507730.05,6421337.2,0.79
E000267,202407,BU01,F04,S019,A06,Scope 3,Purchased goods and services,3378.65,USD thousand spend,0.6321,2671.33,1058456.96,6421337.2,0.8
E000268,202407,BU01,F04,S009,A09,Scope 3,Waste,480.15,tonnes waste,0.5724,343.77,341366.86,6421337.2,0.71
E000269,202407,BU02,F05,DIRECT,A02,Scope 1,Mobile combustion,1325.62,kiloliters,3.2284,4304.87,214087.21,5119024.22,0.74
E000270,202407,BU02,F05,S006,A04,Scope 2,Electricity,1099.28,MWh,0.3844,379.92,146572.48,5119024.22,0.84
E000271,202407,BU02,F05,S022,A07,Scope 3,Transportation and distribution,349.42,ton-km thousand,0.1851,80.91,195624.65,5119024.22,0.89
E000272,202407,BU02,F05,S014,A07,Scope 3,Transportation and distribution,1179.76,ton-km thousand,0.1406,260.44,377399.71,5119024.22,0.85
E000273,202407,BU02,F05,S011,A09,Scope 3,Waste,956.46,tonnes waste,0.4223,505.22,406483.47,5119024.22,0.75
E000274,202407,BU05,F06,S001,A04,Scope 2,Electricity,348.12,MWh,0.4114,128.76,51212.48,2031907.17,0.92
E000275,202407,BU05,F06,S003,A05,Scope 2,Purchased energy,110.73,MWh,0.23,22.89,8144.69,2031907.17,0.79
E000276,202407,BU05,F06,S013,A08,Scope 3,Business travel,448.36,passenger-km thousand,0.116,65.06,85466.84,2031907.17,0.72
E000277,202407,BU05,F06,S003,A09,Scope 3,Waste,499.19,tonnes waste,0.5326,332.56,161514.85,2031907.17,0.85
E000278,202407,BU04,F07,S015,A04,Scope 2,Electricity,229.34,MWh,0.5397,111.27,38477.32,3287835.44,0.77
E000279,202407,BU04,F07,S020,A05,Scope 2,Purchased energy,876.41,MWh,0.2126,134.65,160582.59,3287835.44,0.77
E000280,202407,BU04,F07,S017,A06,Scope 3,Purchased goods and services,441.32,USD thousand spend,0.5009,346.99,182338.69,3287835.44,0.77
E000281,202407,BU04,F07,S021,A06,Scope 3,Purchased goods and services,590.1,USD thousand spend,0.4439,327.66,258261.46,3287835.44,0.87
E000282,202407,BU04,F07,S021,A08,Scope 3,Business travel,303.87,passenger-km thousand,0.1304,49.57,85835.96,3287835.44,0.89
E000283,202407,BU04,F07,S017,A09,Scope 3,Waste,1141.39,tonnes waste,0.4244,760.31,466075.69,3287835.44,0.92
E000284,202407,BU05,F08,S006,A04,Scope 2,Electricity,427.97,MWh,0.4198,161.53,77743.99,2028372.57,0.95
E000285,202407,BU05,F08,S011,A05,Scope 2,Purchased energy,293.5,MWh,0.1936,51.08,30666.99,2028372.57,0.72
E000286,202407,BU05,F08,S005,A08,Scope 3,Business travel,347.56,passenger-km thousand,0.1368,59.48,155075.85,2028372.57,0.71
E000287,202407,BU05,F08,S014,A09,Scope 3,Waste,399.04,tonnes waste,0.5763,360.96,135612.88,2028372.57,0.83
E000288,202408,BU01,F01,DIRECT,A01,Scope 1,Stationary combustion,490.65,MWh thermal,0.2213,108.52,39337.06,6509246.61,0.71
E000289,202408,BU01,F01,DIRECT,A03,Scope 1,Fugitive emissions,146.49,kg refrigerant,1.6237,237.75,12127.02,6509246.61,0.77
E000290,202408,BU01,F01,S020,A04,Scope 2,Electricity,1090.64,MWh,0.3828,299.81,82394.28,6509246.61,0.83
E000291,202408,BU01,F01,S014,A06,Scope 3,Purchased goods and services,2649.05,USD thousand spend,0.4919,2032.63,728828.04,6509246.61,0.86
E000292,202408,BU01,F01,S005,A06,Scope 3,Purchased goods and services,1813.08,USD thousand spend,0.5622,1266.98,1026992.37,6509246.61,0.82
E000293,202408,BU01,F01,S010,A09,Scope 3,Waste,1654.79,tonnes waste,0.5507,1421.46,551064.92,6509246.61,0.87
E000294,202408,BU02,F02,DIRECT,A02,Scope 1,Mobile combustion,1223.84,kiloliters,2.6516,3243.87,226598.39,5920757.55,0.93
E000295,202408,BU02,F02,S021,A04,Scope 2,Electricity,720.92,MWh,0.4815,310.13,83805.84,5920757.55,0.73
E000296,202408,BU02,F02,S007,A07,Scope 3,Transportation and distribution,1023.21,ton-km thousand,0.1921,306.57,709936.56,5920757.55,0.87
E000297,202408,BU02,F02,S003,A07,Scope 3,Transportation and distribution,909.29,ton-km thousand,0.1503,169.9,315082.69,5920757.55,0.81
E000298,202408,BU02,F02,S009,A09,Scope 3,Waste,823.05,tonnes waste,0.5431,555.59,228416.27,5920757.55,0.76
E000299,202408,BU02,F03,DIRECT,A02,Scope 1,Mobile combustion,716.0,kiloliters,2.8189,2017.5,53075.54,5687853.51,0.94
E000300,202408,BU02,F03,S016,A04,Scope 2,Electricity,701.02,MWh,0.4549,357.49,60120.41,5687853.51,0.82
E000301,202408,BU02,F03,S013,A07,Scope 3,Transportation and distribution,456.95,ton-km thousand,0.1386,78.71,279934.46,5687853.51,0.89
E000302,202408,BU02,F03,S018,A07,Scope 3,Transportation and distribution,279.25,ton-km thousand,0.1734,60.2,60407.52,5687853.51,0.93
E000303,202408,BU02,F03,S002,A09,Scope 3,Waste,1265.16,tonnes waste,0.5254,1036.82,429713.06,5687853.51,0.81
E000304,202408,BU01,F04,DIRECT,A01,Scope 1,Stationary combustion,712.28,MWh thermal,0.1638,116.62,117823.61,6907931.05,0.76
E000305,202408,BU01,F04,DIRECT,A03,Scope 1,Fugitive emissions,240.59,kg refrigerant,1.5243,366.58,41445.08,6907931.05,0.82
E000306,202408,BU01,F04,S019,A04,Scope 2,Electricity,575.54,MWh,0.4373,224.84,62594.81,6907931.05,0.87
E000307,202408,BU01,F04,S013,A06,Scope 3,Purchased goods and services,2187.07,USD thousand spend,0.4497,1222.33,741138.12,6907931.05,0.77
E000308,202408,BU01,F04,S020,A06,Scope 3,Purchased goods and services,2571.06,USD thousand spend,0.6236,1602.18,1307472.32,6907931.05,0.9
E000309,202408,BU01,F04,S004,A09,Scope 3,Waste,1061.39,tonnes waste,0.5659,600.2,444607.09,6907931.05,0.71
E000310,202408,BU02,F05,DIRECT,A02,Scope 1,Mobile combustion,1500.33,kiloliters,2.9896,4483.66,269693.14,5009390.61,0.84
E000311,202408,BU02,F05,S009,A04,Scope 2,Electricity,796.67,MWh,0.5358,381.32,130100.01,5009390.61,0.82
E000312,202408,BU02,F05,S012,A07,Scope 3,Transportation and distribution,1112.49,ton-km thousand,0.1601,178.0,326889.74,5009390.61,0.72
E000313,202408,BU02,F05,S008,A07,Scope 3,Transportation and distribution,1233.85,ton-km thousand,0.1827,225.26,534829.78,5009390.61,0.92
E000314,202408,BU02,F05,S014,A09,Scope 3,Waste,400.66,tonnes waste,0.4273,267.04,323320.89,5009390.61,0.79
E000315,202408,BU05,F06,S017,A04,Scope 2,Electricity,369.47,MWh,0.5063,209.72,43209.62,1893259.0,0.83
E000316,202408,BU05,F06,S021,A05,Scope 2,Purchased energy,437.74,MWh,0.2389,93.42,56570.21,1893259.0,0.85
E000317,202408,BU05,F06,S008,A08,Scope 3,Business travel,176.1,passenger-km thousand,0.147,25.87,38501.93,1893259.0,0.89
E000318,202408,BU05,F06,S005,A09,Scope 3,Waste,437.14,tonnes waste,0.4653,252.79,289083.62,1893259.0,0.96
E000319,202408,BU04,F07,S004,A04,Scope 2,Electricity,921.47,MWh,0.5445,360.32,156081.95,3241231.62,0.8
E000320,202408,BU04,F07,S014,A05,Scope 2,Purchased energy,576.23,MWh,0.1862,120.27,102306.5,3241231.62,0.93
E000321,202408,BU04,F07,S002,A06,Scope 3,Purchased goods and services,1939.79,USD thousand spend,0.551,1667.18,766408.85,3241231.62,0.72
E000322,202408,BU04,F07,S001,A06,Scope 3,Purchased goods and services,394.73,USD thousand spend,0.5778,283.47,99575.64,3241231.62,0.79
E000323,202408,BU04,F07,S016,A08,Scope 3,Business travel,688.47,passenger-km thousand,0.1224,131.41,149318.69,3241231.62,0.73
E000324,202408,BU04,F07,S020,A09,Scope 3,Waste,386.43,tonnes waste,0.4727,182.53,221004.12,3241231.62,0.97
E000325,202408,BU05,F08,S023,A04,Scope 2,Electricity,474.55,MWh,0.5066,269.51,78535.27,2040429.16,0.94
E000326,202408,BU05,F08,S008,A05,Scope 2,Purchased energy,164.91,MWh,0.2538,30.06,26157.11,2040429.16,0.73
E000327,202408,BU05,F08,S001,A08,Scope 3,Business travel,315.21,passenger-km thousand,0.1099,43.06,70613.5,2040429.16,0.95
E000328,202408,BU05,F08,S007,A09,Scope 3,Waste,252.94,tonnes waste,0.5966,235.37,109631.66,2040429.16,0.73
E000329,202409,BU01,F01,DIRECT,A01,Scope 1,Stationary combustion,1932.17,MWh thermal,0.1972,378.38,175540.13,7593264.33,0.98
E000330,202409,BU01,F01,DIRECT,A03,Scope 1,Fugitive emissions,78.01,kg refrigerant,1.1573,89.67,13497.56,7593264.33,0.97
E000331,202409,BU01,F01,S004,A04,Scope 2,Electricity,363.29,MWh,0.4824,125.08,30363.49,7593264.33,0.8
E000332,202409,BU01,F01,S014,A06,Scope 3,Purchased goods and services,1293.23,USD thousand spend,0.5712,1144.9,566566.31,7593264.33,0.9
E000333,202409,BU01,F01,S024,A06,Scope 3,Purchased goods and services,2814.87,USD thousand spend,0.4648,1299.23,892990.16,7593264.33,0.83
E000334,202409,BU01,F01,S010,A09,Scope 3,Waste,1668.22,tonnes waste,0.5041,1303.45,561745.25,7593264.33,0.85
E000335,202409,BU02,F02,DIRECT,A02,Scope 1,Mobile combustion,523.06,kiloliters,2.3085,1199.39,72746.86,5884138.73,0.86
E000336,202409,BU02,F02,S004,A04,Scope 2,Electricity,932.23,MWh,0.4712,313.49,170454.06,5884138.73,0.73
E000337,202409,BU02,F02,S010,A07,Scope 3,Transportation and distribution,807.42,ton-km thousand,0.1814,226.99,384907.59,5884138.73,0.97
E000338,202409,BU02,F02,S020,A07,Scope 3,Transportation and distribution,404.72,ton-km thousand,0.1412,56.73,267368.82,5884138.73,0.9
E000339,202409,BU02,F02,S009,A09,Scope 3,Waste,849.17,tonnes waste,0.4026,422.24,325747.94,5884138.73,0.73
E000340,202409,BU02,F03,DIRECT,A02,Scope 1,Mobile combustion,564.52,kiloliters,2.2012,1234.3,73335.07,5542631.71,0.91
E000341,202409,BU02,F03,S020,A04,Scope 2,Electricity,1590.87,MWh,0.5453,619.13,184726.72,5542631.71,0.98
E000342,202409,BU02,F03,S011,A07,Scope 3,Transportation and distribution,1595.09,ton-km thousand,0.1381,272.13,923063.11,5542631.71,0.9
E000343,202409,BU02,F03,S021,A07,Scope 3,Transportation and distribution,742.34,ton-km thousand,0.1368,125.44,222033.13,5542631.71,0.78
E000344,202409,BU02,F03,S019,A09,Scope 3,Waste,1030.78,tonnes waste,0.5273,671.36,256390.89,5542631.71,0.85
E000345,202409,BU01,F04,DIRECT,A01,Scope 1,Stationary combustion,1300.79,MWh thermal,0.2055,265.58,113744.38,7037826.35,0.91
E000346,202409,BU01,F04,DIRECT,A03,Scope 1,Fugitive emissions,145.01,kg refrigerant,1.3549,195.16,26562.77,7037826.35,0.71
E000347,202409,BU01,F04,S021,A04,Scope 2,Electricity,1001.19,MWh,0.5167,459.22,87595.98,7037826.35,0.72
E000348,202409,BU01,F04,S014,A06,Scope 3,Purchased goods and services,3155.75,USD thousand spend,0.5712,2793.81,2053109.09,7037826.35,0.81
E000349,202409,BU01,F04,S016,A06,Scope 3,Purchased goods and services,1489.79,USD thousand spend,0.4736,1093.64,731528.18,7037826.35,0.82
E000350,202409,BU01,F04,S008,A09,Scope 3,Waste,962.92,tonnes waste,0.5102,487.84,725822.52,7037826.35,0.7
E000351,202409,BU02,F05,DIRECT,A02,Scope 1,Mobile combustion,1088.44,kiloliters,2.8109,3039.06,114018.07,5461864.22,0.83
E000352,202409,BU02,F05,S017,A04,Scope 2,Electricity,752.69,MWh,0.5477,459.28,123536.39,5461864.22,0.75
E000353,202409,BU02,F05,S012,A07,Scope 3,Transportation and distribution,1057.03,ton-km thousand,0.1602,168.16,369579.48,5461864.22,0.75
E000354,202409,BU02,F05,S012,A07,Scope 3,Transportation and distribution,1501.27,ton-km thousand,0.1398,208.46,581579.38,5461864.22,0.92
E000355,202409,BU02,F05,S001,A09,Scope 3,Waste,407.25,tonnes waste,0.4962,249.61,107201.79,5461864.22,0.71
E000356,202409,BU05,F06,S022,A04,Scope 2,Electricity,334.49,MWh,0.383,113.73,24389.86,2071244.51,0.97
E000357,202409,BU05,F06,S024,A05,Scope 2,Purchased energy,340.27,MWh,0.2314,56.19,49479.17,2071244.51,0.88
E000358,202409,BU05,F06,S019,A08,Scope 3,Business travel,448.52,passenger-km thousand,0.1406,77.91,239397.27,2071244.51,0.83
E000359,202409,BU05,F06,S010,A09,Scope 3,Waste,163.2,tonnes waste,0.4751,120.17,43418.88,2071244.51,0.86
E000360,202409,BU04,F07,S011,A04,Scope 2,Electricity,245.76,MWh,0.5305,115.74,36765.63,2906695.25,0.87
E000361,202409,BU04,F07,S003,A05,Scope 2,Purchased energy,432.0,MWh,0.2255,86.48,42584.06,2906695.25,0.77
E000362,202409,BU04,F07,S018,A06,Scope 3,Purchased goods and services,694.97,USD thousand spend,0.5397,463.22,238372.85,2906695.25,0.85
E000363,202409,BU04,F07,S014,A06,Scope 3,Purchased goods and services,1687.02,USD thousand spend,0.5201,1359.91,824074.28,2906695.25,0.72
E000364,202409,BU04,F07,S003,A08,Scope 3,Business travel,878.02,passenger-km thousand,0.142,154.04,260844.74,2906695.25,0.79
E000365,202409,BU04,F07,S013,A09,Scope 3,Waste,834.06,tonnes waste,0.4904,505.22,575165.86,2906695.25,0.72
E000366,202409,BU05,F08,S013,A04,Scope 2,Electricity,477.69,MWh,0.5429,230.22,39837.26,2170873.09,0.76
E000367,202409,BU05,F08,S012,A05,Scope 2,Purchased energy,304.72,MWh,0.2089,45.43,38342.49,2170873.09,0.85
E000368,202409,BU05,F08,S008,A08,Scope 3,Business travel,127.09,passenger-km thousand,0.123,15.53,44432.85,2170873.09,0.97
E000369,202409,BU05,F08,S015,A09,Scope 3,Waste,247.15,tonnes waste,0.4527,138.18,74540.97,2170873.09,0.71
E000370,202410,BU01,F01,DIRECT,A01,Scope 1,Stationary combustion,1685.2,MWh thermal,0.2151,357.73,177993.71,7284648.18,0.84
E000371,202410,BU01,F01,DIRECT,A03,Scope 1,Fugitive emissions,176.41,kg refrigerant,1.2541,218.36,15709.7,7284648.18,0.79
E000372,202410,BU01,F01,S016,A04,Scope 2,Electricity,1580.65,MWh,0.513,897.55,274268.56,7284648.18,0.94
E000373,202410,BU01,F01,S007,A06,Scope 3,Purchased goods and services,2768.79,USD thousand spend,0.6142,2618.99,926463.36,7284648.18,0.91
E000374,202410,BU01,F01,S015,A06,Scope 3,Purchased goods and services,823.27,USD thousand spend,0.5978,603.97,201533.33,7284648.18,0.93
E000375,202410,BU01,F01,S021,A09,Scope 3,Waste,1077.24,tonnes waste,0.5544,732.89,415096.9,7284648.18,0.79
E000376,202410,BU02,F02,DIRECT,A02,Scope 1,Mobile combustion,1031.47,kiloliters,2.7403,2789.76,127480.79,5169073.69,0.82
E000377,202410,BU02,F02,S014,A04,Scope 2,Electricity,800.31,MWh,0.4686,415.13,105939.91,5169073.69,0.79
E000378,202410,BU02,F02,S004,A07,Scope 3,Transportation and distribution,644.83,ton-km thousand,0.1658,105.47,363482.17,5169073.69,0.85
E000379,202410,BU02,F02,S024,A07,Scope 3,Transportation and distribution,1427.03,ton-km thousand,0.1541,216.98,714294.09,5169073.69,0.8
E000380,202410,BU02,F02,S011,A09,Scope 3,Waste,613.37,tonnes waste,0.4466,336.17,250112.26,5169073.69,0.88
E000381,202410,BU02,F03,DIRECT,A02,Scope 1,Mobile combustion,315.22,kiloliters,2.2583,702.62,37991.67,5206720.5,0.81
E000382,202410,BU02,F03,S002,A04,Scope 2,Electricity,538.11,MWh,0.395,235.27,75326.03,5206720.5,0.98
E000383,202410,BU02,F03,S024,A07,Scope 3,Transportation and distribution,965.69,ton-km thousand,0.1587,151.22,148288.8,5206720.5,0.74
E000384,202410,BU02,F03,S018,A07,Scope 3,Transportation and distribution,1427.63,ton-km thousand,0.1791,313.76,703082.3,5206720.5,0.72
E000385,202410,BU02,F03,S020,A09,Scope 3,Waste,359.99,tonnes waste,0.4223,149.99,78451.63,5206720.5,0.71
E000386,202410,BU01,F04,DIRECT,A01,Scope 1,Stationary combustion,1662.29,MWh thermal,0.1943,318.86,160833.12,7747328.17,0.76
E000387,202410,BU01,F04,DIRECT,A03,Scope 1,Fugitive emissions,200.39,kg refrigerant,1.5358,303.75,23640.47,7747328.17,0.72
E000388,202410,BU01,F04,S012,A04,Scope 2,Electricity,365.88,MWh,0.4084,105.96,53671.6,7747328.17,0.82
E000389,202410,BU01,F04,S019,A06,Scope 3,Purchased goods and services,1755.37,USD thousand spend,0.4595,989.82,928112.07,7747328.17,0.81
E000390,202410,BU01,F04,S018,A06,Scope 3,Purchased goods and services,2519.04,USD thousand spend,0.5136,1587.72,467160.47,7747328.17,0.71
E000391,202410,BU01,F04,S009,A09,Scope 3,Waste,725.05,tonnes waste,0.5862,521.63,328509.1,7747328.17,0.73
E000392,202410,BU02,F05,DIRECT,A02,Scope 1,Mobile combustion,734.62,kiloliters,3.2312,2342.82,95746.07,5421244.44,0.82
E000393,202410,BU02,F05,S006,A04,Scope 2,Electricity,1236.66,MWh,0.5386,587.58,157526.44,5421244.44,0.93
E000394,202410,BU02,F05,S004,A07,Scope 3,Transportation and distribution,1574.32,ton-km thousand,0.1856,288.32,674982.05,5421244.44,0.87
E000395,202410,BU02,F05,S004,A07,Scope 3,Transportation and distribution,1050.31,ton-km thousand,0.1618,167.64,303882.6,5421244.44,0.86
E000396,202410,BU02,F05,S017,A09,Scope 3,Waste,1008.05,tonnes waste,0.5039,782.24,634235.31,5421244.44,0.93
E000397,202410,BU05,F06,S012,A04,Scope 2,Electricity,448.93,MWh,0.4171,132.79,73570.68,2015594.15,0.96
E000398,202410,BU05,F06,S015,A05,Scope 2,Purchased energy,83.11,MWh,0.2369,17.37,10962.91,2015594.15,0.72
E000399,202410,BU05,F06,S009,A08,Scope 3,Business travel,343.47,passenger-km thousand,0.1244,52.43,122036.37,2015594.15,0.84
E000400,202410,BU05,F06,S008,A09,Scope 3,Waste,110.6,tonnes waste,0.4645,50.69,45498.45,2015594.15,0.87
E000401,202410,BU04,F07,S023,A04,Scope 2,Electricity,314.92,MWh,0.5524,192.55,32505.26,3288512.71,0.9
E000402,202410,BU04,F07,S014,A05,Scope 2,Purchased energy,266.71,MWh,0.2294,67.73,32736.07,3288512.71,0.96
E000403,202410,BU04,F07,S017,A06,Scope 3,Purchased goods and services,660.23,USD thousand spend,0.4944,502.71,216329.38,3288512.71,0.81
E000404,202410,BU04,F07,S007,A06,Scope 3,Purchased goods and services,441.34,USD thousand spend,0.604,410.55,87927.83,3288512.71,0.74
E000405,202410,BU04,F07,S022,A08,Scope 3,Business travel,559.54,passenger-km thousand,0.136,93.39,114989.61,3288512.71,0.82
