AlertKey,TransactionKey,DateKey,AlertDateKey,CustomerKey,RuleKey,CorridorKey,ChannelKey,ProductKey,AlertAmountUSD,RiskScore,Severity,AlertStatus,IsFalsePositive,IsTruePositive,EscalatedToCase,CaseKey,ClosedDateKey,HoursToDisposition
AL001061,T0005590,20250329,20250330,C0125,R002,COR006,CH004,PR002,3548.31,75,High,Closed True Positive,N,Y,Y,CA001061,20250413.0,340.0
AL001062,T0005602,20250923,20250923,C0131,R010,COR006,CH005,PR005,16000.0,99,Critical,Escalated,Y,N,Y,CA001062,,
AL001063,T0005606,20250916,20250916,C0086,R003,COR003,CH008,PR006,18611.26,78,High,Closed False Positive,Y,N,N,,20250930.0,349.0
AL001064,T0005616,20250814,20250814,C0004,R006,COR003,CH004,PR001,7323.62,76,High,SAR Filed,N,Y,Y,CA001064,20250815.0,29.0
AL001065,T0005618,20250914,20250914,C0090,R005,COR009,CH004,PR002,157000.0,86,High,SAR Filed,N,Y,Y,CA001065,20250918.0,106.0
AL001066,T0005622,20251104,20251104,C0165,R003,COR006,CH004,PR004,25000.0,99,Critical,SAR Filed,N,Y,Y,CA001066,20251117.0,322.0
AL001067,T0005627,20250707,20250708,C0157,R005,COR010,CH008,PR005,94273.86,99,Critical,SAR Filed,N,Y,Y,CA001067,20250710.0,60.0
AL001068,T0005648,20260510,20260511,C0033,R008,COR011,CH008,PR002,138269.42,99,Critical,SAR Filed,N,Y,Y,CA001068,20260524.0,320.0
AL001069,T0005654,20251027,20251027,C0097,R004,COR009,CH002,PR006,110145.31,91,Critical,SAR Filed,N,Y,Y,CA001069,20251028.0,27.0
AL001070,T0005661,20251026,20251028,C0117,R002,COR009,CH007,PR001,58153.5,70,Medium,Closed True Positive,N,Y,Y,CA001070,20251108.0,272.0
AL001071,T0005664,20260103,20260105,C0126,R007,COR004,CH001,PR007,10459.89,67,Medium,Closed False Positive,Y,N,N,,20260117.0,289.0
AL001072,T0005665,20250505,20250505,C0067,R001,COR011,CH006,PR007,40477.23,68,Medium,Closed True Positive,N,Y,N,,20250512.0,178.0
AL001073,T0005667,20250320,20250321,C0034,R002,COR008,CH008,PR006,47000.0,84,High,New,Y,N,N,,,
AL001074,T0005676,20260301,20260303,C0051,R006,COR006,CH001,PR007,2874.14,78,High,Closed False Positive,Y,N,N,,20260316.0,319.0
AL001075,T0005681,20250913,20250913,C0131,R002,COR001,CH003,PR004,283000.0,88,Critical,SAR Filed,N,Y,Y,CA001075,20250919.0,154.0
AL001076,T0005689,20260420,20260421,C0006,R004,COR008,CH008,PR008,351591.83,91,Critical,SAR Filed,N,Y,Y,CA001076,20260429.0,199.0
AL001077,T0005695,20250718,20250718,C0031,R001,COR009,CH004,PR006,112086.98,92,Critical,Escalated,Y,N,Y,CA001077,,
AL001078,T0005702,20250314,20250314,C0017,R001,COR006,CH006,PR006,7088.07,89,Critical,SAR Filed,N,Y,Y,CA001078,20250327.0,320.0
AL001079,T0005708,20250228,20250302,C0029,R003,COR007,CH003,PR005,19241.08,63,Medium,In Review,N,Y,Y,CA001079,,
AL001080,T0005709,20250927,20250928,C0065,R008,COR002,CH003,PR004,19329.17,81,High,Closed False Positive,Y,N,N,,20251004.0,152.0
AL001081,T0005713,20260329,20260329,C0035,R001,COR009,CH008,PR005,10349.09,78,High,Escalated,N,Y,Y,CA001081,,
AL001082,T0005720,20251208,20251209,C0136,R002,COR007,CH007,PR002,2911.85,62,Medium,Escalated,N,Y,Y,CA001082,,
AL001083,T0005722,20250429,20250429,C0134,R010,COR004,CH007,PR004,5915.44,86,High,SAR Filed,N,Y,Y,CA001083,20250502.0,76.0
AL001084,T0005728,20251003,20251004,C0106,R003,COR012,CH001,PR005,3202.11,62,Medium,Closed False Positive,Y,N,N,,20251015.0,275.0
AL001085,T0005733,20251012,20251012,C0086,R002,COR010,CH002,PR001,104000.0,88,Critical,Escalated,N,Y,Y,CA001085,,
AL001086,T0005736,20251117,20251119,C0087,R004,COR002,CH008,PR005,37874.45,69,Medium,Closed True Positive,N,Y,N,,20251202.0,317.0
AL001087,T0005744,20260508,20260508,C0006,R008,COR007,CH004,PR006,52684.27,90,Critical,Escalated,N,Y,Y,CA001087,,
AL001088,T0005749,20250201,20250201,C0061,R001,COR011,CH002,PR002,330596.27,74,High,Closed False Positive,Y,N,N,,20250216.0,362.0
AL001089,T0005753,20260319,20260321,C0087,R003,COR010,CH005,PR007,2612.47,76,High,Closed False Positive,Y,N,N,,20260325.0,97.0
AL001090,T0005754,20260310,20260311,C0100,R007,COR004,CH003,PR004,18217.04,71,Medium,Closed False Positive,Y,N,N,,20260312.0,37.0
AL001091,T0005755,20260501,20260501,C0081,R004,COR004,CH007,PR006,26747.95,79,High,In Review,Y,N,N,,,
AL001092,T0005758,20260519,20260519,C0083,R004,COR003,CH004,PR006,14018.99,93,Critical,SAR Filed,N,Y,Y,CA001092,20260526.0,171.0
AL001093,T0005762,20251109,20251109,C0138,R010,COR011,CH004,PR003,10000.0,87,High,Closed False Positive,Y,N,N,,20251112.0,73.0
AL001094,T0005768,20250318,20250319,C0055,R008,COR004,CH004,PR006,67673.79,83,High,Escalated,N,Y,Y,CA001094,,
AL001095,T0005771,20250108,20250110,C0016,R001,COR001,CH006,PR007,231000.0,80,High,Escalated,N,Y,Y,CA001095,,
AL001096,T0005776,20250924,20250925,C0095,R010,COR005,CH008,PR008,160651.57,78,High,Closed True Positive,N,Y,N,,20250928.0,85.0
AL001097,T0005777,20250501,20250501,C0109,R009,COR009,CH001,PR007,10538.03,68,Medium,Closed False Positive,Y,N,N,,20250512.0,268.0
AL001098,T0005779,20250225,20250227,C0048,R003,COR003,CH005,PR004,53097.05,69,Medium,In Review,Y,N,N,,,
AL001099,T0005790,20251111,20251113,C0057,R005,COR008,CH001,PR005,3224.64,66,Medium,Closed True Positive,N,Y,N,,20251124.0,275.0
AL001100,T0005794,20250414,20250414,C0094,R009,COR001,CH008,PR001,134738.56,84,High,Closed False Positive,Y,N,N,,20250425.0,272.0
AL001101,T0005797,20260228,20260302,C0036,R001,COR008,CH006,PR005,141561.79,81,High,SAR Filed,N,Y,Y,CA001101,20260310.0,195.0
AL001102,T0005805,20260215,20260216,C0080,R005,COR005,CH007,PR005,67376.75,84,High,SAR Filed,N,Y,Y,CA001102,20260221.0,135.0
AL001103,T0005806,20250502,20250503,C0032,R008,COR009,CH007,PR008,18344.18,80,High,Closed True Positive,N,Y,N,,20250509.0,154.0
AL001104,T0005807,20260329,20260330,C0049,R010,COR001,CH002,PR008,12326.97,67,Medium,Escalated,N,Y,Y,CA001104,,
AL001105,T0005815,20260310,20260312,C0050,R002,COR011,CH005,PR004,43000.0,99,Critical,SAR Filed,N,Y,Y,CA001105,20260327.0,373.0
AL001106,T0005824,20260510,20260511,C0120,R010,COR004,CH003,PR008,73000.0,92,Critical,SAR Filed,N,Y,Y,CA001106,20260521.0,253.0
AL001107,T0005826,20250817,20250817,C0110,R005,COR008,CH001,PR008,4252.75,74,High,In Review,N,Y,N,,,
AL001108,T0005838,20251117,20251117,C0133,R001,COR011,CH007,PR008,27630.12,83,High,Escalated,N,Y,Y,CA001108,,
AL001109,T0005844,20250601,20250603,C0167,R008,COR008,CH004,PR004,8000.0,99,Critical,Escalated,N,Y,Y,CA001109,,
AL001110,T0005850,20251223,20251224,C0062,R002,COR009,CH002,PR004,7911.07,67,Medium,Closed True Positive,N,Y,N,,20251230.0,151.0
AL001111,T0005854,20260419,20260420,C0068,R009,COR001,CH004,PR001,11043.74,73,Medium,In Review,Y,N,N,,,
AL001112,T0005860,20250709,20250709,C0140,R001,COR008,CH006,PR008,224000.0,99,Critical,SAR Filed,N,Y,Y,CA001112,20250719.0,243.0
AL001113,T0005862,20260122,20260122,C0174,R010,COR002,CH008,PR006,349000.0,99,Critical,SAR Filed,N,Y,Y,CA001113,20260131.0,220.0
AL001114,T0005870,20250717,20250718,C0084,R003,COR007,CH006,PR003,156852.63,80,High,Closed True Positive,N,Y,N,,20250722.0,105.0
AL001115,T0005879,20250702,20250704,C0064,R003,COR006,CH008,PR001,12023.07,87,High,Closed True Positive,N,Y,N,,20250710.0,156.0
AL001116,T0005880,20250507,20250508,C0079,R006,COR009,CH006,PR003,189523.44,83,High,New,Y,N,N,,,
AL001117,T0005881,20260123,20260124,C0070,R009,COR010,CH008,PR007,417000.0,99,Critical,In Review,Y,N,Y,CA001117,,
AL001118,T0005885,20250701,20250702,C0136,R006,COR009,CH004,PR004,21606.57,75,High,Escalated,N,Y,Y,CA001118,,
AL001119,T0005887,20251104,20251106,C0180,R001,COR006,CH002,PR001,109474.98,96,Critical,SAR Filed,N,Y,Y,CA001119,20251116.0,244.0
AL001120,T0005888,20250802,20250803,C0102,R008,COR004,CH004,PR002,25274.44,89,Critical,In Review,Y,N,Y,CA001120,,
AL001121,T0005889,20250123,20250124,C0103,R002,COR005,CH004,PR005,114000.0,99,Critical,Escalated,N,Y,Y,CA001121,,
AL001122,T0005897,20260219,20260220,C0033,R008,COR001,CH004,PR003,24048.36,79,High,Closed False Positive,Y,N,N,,20260227.0,173.0
AL001123,T0005909,20260201,20260201,C0131,R001,COR012,CH005,PR003,239564.84,80,High,Closed True Positive,N,Y,N,,20260202.0,39.0
AL001124,T0005926,20250123,20250123,C0056,R008,COR001,CH002,PR006,169332.57,90,Critical,SAR Filed,N,Y,Y,CA001124,20250207.0,368.0
AL001125,T0005929,20251214,20251215,C0071,R009,COR002,CH008,PR007,19291.54,83,High,SAR Filed,N,Y,Y,CA001125,20251228.0,325.0
AL001126,T0005930,20251211,20251211,C0090,R001,COR010,CH003,PR007,31000.0,86,High,Closed True Positive,N,Y,N,,20251217.0,159.0
AL001127,T0005936,20260326,20260327,C0173,R005,COR004,CH005,PR006,66942.11,99,Critical,Escalated,Y,N,Y,CA001127,,
AL001128,T0005946,20260518,20260520,C0102,R001,COR011,CH004,PR006,33857.32,93,Critical,SAR Filed,N,Y,Y,CA001128,20260530.0,254.0
AL001129,T0005947,20251218,20251220,C0162,R001,COR001,CH008,PR005,38919.74,91,Critical,SAR Filed,N,Y,Y,CA001129,20251228.0,195.0
AL001130,T0005948,20250602,20250603,C0091,R003,COR007,CH003,PR001,10365.06,81,High,Closed True Positive,N,Y,N,,20250604.0,39.0
AL001131,T0005955,20260428,20260430,C0025,R005,COR002,CH007,PR007,19641.5,78,High,Closed False Positive,Y,N,N,,20260510.0,242.0
AL001132,T0005957,20250104,20250104,C0041,R005,COR011,CH008,PR003,5654.05,77,High,In Review,Y,N,N,,,
AL001133,T0005960,20251015,20251017,C0002,R010,COR005,CH008,PR007,132255.71,59,Medium,Closed False Positive,Y,N,N,,20251029.0,300.0
AL001134,T0005965,20250107,20250108,C0004,R001,COR009,CH006,PR005,8945.93,71,Medium,Closed False Positive,Y,N,N,,20250123.0,374.0
AL001135,T0005975,20260123,20260124,C0123,R003,COR003,CH005,PR003,21375.0,99,Critical,Escalated,Y,N,Y,CA001135,,
AL001136,T0005995,20250112,20250114,C0080,R006,COR011,CH003,PR005,38540.17,99,Critical,SAR Filed,N,Y,Y,CA001136,20250123.0,219.0
AL001137,T0006003,20250917,20250919,C0021,R005,COR009,CH007,PR003,14964.63,83,High,Closed True Positive,N,Y,N,,20250921.0,53.0
AL001138,T0006012,20250930,20250930,C0086,R005,COR009,CH008,PR005,39702.12,96,Critical,Closed True Positive,Y,N,Y,CA001138,20251012.0,299.0
AL001139,T0006023,20260227,20260228,C0074,R001,COR003,CH006,PR008,120276.76,92,Critical,SAR Filed,N,Y,Y,CA001139,20260315.0,362.0
AL001140,T0006037,20260418,20260419,C0075,R001,COR010,CH002,PR004,94000.0,99,Critical,Escalated,N,Y,Y,CA001140,,
AL001141,T0006040,20260228,20260302,C0070,R010,COR012,CH003,PR007,5495.8,66,Medium,New,Y,N,N,,,
AL001142,T0006043,20260406,20260406,C0012,R005,COR006,CH002,PR007,32221.24,81,High,SAR Filed,N,Y,Y,CA001142,20260408.0,57.0
AL001143,T0006051,20250312,20250313,C0006,R007,COR012,CH006,PR005,50000.0,78,High,In Review,Y,N,N,,,
AL001144,T0006054,20260324,20260324,C0132,R001,COR008,CH007,PR003,11461.59,78,High,SAR Filed,N,Y,Y,CA001144,20260405.0,289.0
AL001145,T0006058,20260303,20260303,C0086,R009,COR007,CH008,PR004,113060.23,94,Critical,Escalated,Y,N,Y,CA001145,,
AL001146,T0006061,20251104,20251105,C0040,R004,COR003,CH008,PR004,48688.76,85,High,In Review,Y,N,N,,,
AL001147,T0006065,20260121,20260121,C0075,R007,COR008,CH006,PR005,3236.24,90,Critical,SAR Filed,N,Y,Y,CA001147,20260127.0,146.0
AL001148,T0006081,20250710,20250710,C0074,R005,COR010,CH004,PR003,2888.3,68,Medium,Closed False Positive,Y,N,N,,20250723.0,327.0
AL001149,T0006083,20251107,20251107,C0159,R001,COR010,CH006,PR007,76049.82,68,Medium,Closed False Positive,Y,N,N,,20251111.0,108.0
AL001150,T0006085,20250410,20250410,C0062,R005,COR009,CH004,PR003,7803.23,79,High,Closed False Positive,Y,N,N,,20250413.0,83.0
AL001151,T0006087,20260311,20260313,C0107,R002,COR011,CH006,PR005,37412.43,66,Medium,Closed True Positive,N,Y,N,,20260314.0,33.0
AL001152,T0006104,20250212,20250214,C0061,R001,COR002,CH008,PR002,113902.94,89,Critical,Escalated,N,Y,Y,CA001152,,
AL001153,T0006106,20260331,20260401,C0092,R003,COR011,CH002,PR008,23000.0,91,Critical,SAR Filed,N,Y,Y,CA001153,20260411.0,243.0
AL001154,T0006112,20250729,20250729,C0033,R007,COR004,CH003,PR006,27613.44,80,High,Closed False Positive,Y,N,N,,20250802.0,107.0
AL001155,T0006113,20260517,20260518,C0105,R001,COR011,CH004,PR008,37000.0,83,High,Closed False Positive,Y,N,N,,20260602.0,375.0
AL001156,T0006124,20260415,20260416,C0096,R006,COR005,CH005,PR002,48392.07,75,High,Closed False Positive,Y,N,N,,20260420.0,105.0
AL001157,T0006131,20250311,20250312,C0179,R003,COR006,CH008,PR008,196565.96,99,Critical,SAR Filed,N,Y,Y,CA001157,20250319.0,177.0
AL001158,T0006135,20260201,20260201,C0178,R009,COR002,CH008,PR007,51865.24,82,High,SAR Filed,N,Y,Y,CA001158,20260216.0,364.0
AL001159,T0006136,20250928,20250930,C0149,R003,COR007,CH004,PR006,8948.61,82,High,In Review,N,Y,N,,,
AL001160,T0006137,20250721,20250723,C0020,R010,COR001,CH003,PR006,51008.73,80,High,SAR Filed,N,Y,Y,CA001160,20250725.0,56.0
AL001161,T0006139,20251218,20251218,C0120,R003,COR009,CH008,PR007,33000.0,92,Critical,SAR Filed,N,Y,Y,CA001161,20251226.0,196.0
AL001162,T0006140,20260214,20260216,C0087,R002,COR003,CH003,PR007,35323.8,83,High,Closed True Positive,N,Y,N,,20260302.0,344.0
AL001163,T0006146,20251027,20251029,C0033,R002,COR008,CH007,PR003,11000.0,88,Critical,In Review,Y,N,Y,CA001163,,
AL001164,T0006152,20250627,20250628,C0086,R008,COR001,CH006,PR007,4423.97,75,High,SAR Filed,N,Y,Y,CA001164,20250701.0,74.0
AL001165,T0006153,20260107,20260108,C0170,R010,COR012,CH002,PR005,58789.36,78,High,Closed False Positive,Y,N,N,,20260117.0,223.0
AL001166,T0006165,20250806,20250808,C0014,R006,COR002,CH004,PR008,44989.82,89,Critical,Escalated,N,Y,Y,CA001166,,
AL001167,T0006169,20260525,20260526,C0083,R001,COR007,CH003,PR008,5100.81,84,High,In Review,N,Y,N,,,
AL001168,T0006170,20260212,20260214,C0136,R004,COR008,CH003,PR007,8000.0,70,Medium,Closed False Positive,Y,N,N,,20260218.0,104.0
AL001169,T0006172,20260504,20260506,C0152,R006,COR006,CH006,PR006,126537.17,82,High,SAR Filed,N,Y,Y,CA001169,20260516.0,253.0
AL001170,T0006173,20251118,20251120,C0053,R006,COR007,CH005,PR007,29000.0,90,Critical,SAR Filed,N,Y,Y,CA001170,20251126.0,155.0
AL001171,T0006174,20250216,20250218,C0015,R004,COR011,CH006,PR008,46170.37,81,High,Closed False Positive,Y,N,N,,20250301.0,272.0
AL001172,T0006179,20250325,20250327,C0105,R002,COR010,CH001,PR002,78000.0,77,High,In Review,Y,N,N,,,
AL001173,T0006180,20251025,20251027,C0075,R009,COR010,CH008,PR005,14000.0,94,Critical,SAR Filed,N,Y,Y,CA001173,20251109.0,319.0
AL001174,T0006199,20250727,20250729,C0042,R009,COR008,CH008,PR007,1846.67,93,Critical,SAR Filed,N,Y,Y,CA001174,20250731.0,61.0
AL001175,T0006215,20260214,20260215,C0010,R007,COR011,CH006,PR008,56772.83,88,Critical,SAR Filed,N,Y,Y,CA001175,20260220.0,129.0
AL001176,T0006216,20260113,20260115,C0144,R006,COR002,CH004,PR002,35067.57,81,High,Closed True Positive,N,Y,N,,20260118.0,78.0
AL001177,T0006218,20251002,20251002,C0054,R001,COR011,CH007,PR006,2516.32,79,High,SAR Filed,N,Y,Y,CA001177,20251015.0,324.0
AL001178,T0006219,20250809,20250810,C0066,R004,COR007,CH003,PR004,7345.06,68,Medium,Closed False Positive,Y,N,N,,20250824.0,344.0
AL001179,T0006224,20260412,20260414,C0049,R001,COR002,CH007,PR006,5826.79,55,Low,Closed False Positive,Y,N,N,,20260423.0,222.0
AL001180,T0006229,20250524,20250526,C0061,R002,COR011,CH008,PR006,41052.45,85,High,Closed False Positive,Y,N,N,,20250606.0,265.0
AL001181,T0006232,20251217,20251217,C0059,R008,COR010,CH006,PR007,72000.0,91,Critical,Escalated,N,Y,Y,CA001181,,
AL001182,T0006233,20260211,20260212,C0022,R009,COR003,CH008,PR008,55198.74,78,High,Closed False Positive,Y,N,N,,20260215.0,79.0
AL001183,T0006242,20250615,20250615,C0034,R005,COR002,CH005,PR007,4128.7,83,High,Closed False Positive,Y,N,N,,20250617.0,61.0
AL001184,T0006243,20250605,20250606,C0021,R007,COR003,CH004,PR008,12000.0,88,Critical,SAR Filed,N,Y,Y,CA001184,20250615.0,228.0
AL001185,T0006247,20260224,20260226,C0118,R001,COR012,CH004,PR006,81555.74,95,Critical,SAR Filed,N,Y,Y,CA001185,20260228.0,62.0
AL001186,T0006252,20260522,20260522,C0126,R002,COR001,CH002,PR004,17000.0,69,Medium,SAR Filed,N,Y,Y,CA001186,20260602.0,278.0
AL001187,T0006262,20250101,20250102,C0110,R006,COR011,CH003,PR008,6627.41,64,Medium,Closed False Positive,Y,N,N,,20250111.0,227.0
AL001188,T0006265,20251024,20251024,C0024,R009,COR009,CH008,PR003,35097.37,84,High,Closed False Positive,Y,N,N,,20251025.0,35.0
AL001189,T0006266,20251001,20251002,C0145,R001,COR005,CH008,PR008,17220.72,82,High,SAR Filed,N,Y,Y,CA001189,20251005.0,78.0
AL001190,T0006283,20251023,20251025,C0157,R009,COR012,CH004,PR001,4915.93,84,High,Closed False Positive,Y,N,N,,20251101.0,182.0
AL001191,T0006288,20260321,20260322,C0056,R009,COR008,CH008,PR004,80671.96,78,High,Closed False Positive,Y,N,N,,20260324.0,49.0
AL001192,T0006291,20250225,20250226,C0014,R008,COR011,CH005,PR004,25983.06,90,Critical,Closed True Positive,Y,N,Y,CA001192,20250313.0,374.0
AL001193,T0006293,20250520,20250522,C0024,R004,COR005,CH003,PR008,9677.7,76,High,In Review,Y,N,N,,,
AL001194,T0006295,20251027,20251029,C0125,R010,COR001,CH002,PR008,466000.0,80,High,Escalated,N,Y,Y,CA001194,,
AL001195,T0006300,20250527,20250528,C0165,R009,COR009,CH006,PR005,68314.59,93,Critical,SAR Filed,N,Y,Y,CA001195,20250605.0,195.0
AL001196,T0006316,20260219,20260219,C0003,R003,COR001,CH003,PR007,742.67,85,High,Closed True Positive,N,Y,N,,20260223.0,101.0
AL001197,T0006319,20250329,20250329,C0121,R002,COR011,CH001,PR004,18646.03,81,High,Closed False Positive,Y,N,N,,20250404.0,145.0
AL001198,T0006320,20250422,20250422,C0087,R009,COR005,CH008,PR006,17383.98,77,High,Closed True Positive,N,Y,Y,CA001198,20250423.0,30.0
AL001199,T0006324,20260223,20260225,C0128,R009,COR012,CH008,PR001,89220.59,90,Critical,SAR Filed,N,Y,Y,CA001199,20260306.0,228.0
AL001200,T0006340,20250905,20250907,C0116,R009,COR005,CH002,PR001,15722.8,85,High,SAR Filed,N,Y,Y,CA001200,20250922.0,374.0
AL001201,T0006342,20260330,20260401,C0064,R007,COR006,CH005,PR003,64255.02,94,Critical,Closed True Positive,Y,N,Y,CA001201,20260402.0,26.0
AL001202,T0006344,20251114,20251115,C0060,R001,COR012,CH004,PR006,19949.77,74,High,Closed True Positive,N,Y,Y,CA001202,20251126.0,272.0
AL001203,T0006345,20251127,20251127,C0011,R006,COR011,CH006,PR008,13849.28,79,High,SAR Filed,N,Y,Y,CA001203,20251206.0,227.0
AL001204,T0006353,20251219,20251221,C0095,R006,COR002,CH006,PR008,81523.04,79,High,In Review,N,Y,N,,,
AL001205,T0006354,20260324,20260325,C0075,R003,COR011,CH004,PR007,3701.97,87,High,SAR Filed,N,Y,Y,CA001205,20260331.0,159.0
AL001206,T0006356,20251123,20251123,C0154,R001,COR012,CH002,PR008,63221.62,85,High,Escalated,N,Y,Y,CA001206,,
AL001207,T0006360,20250206,20250207,C0030,R006,COR011,CH003,PR006,1552.48,73,Medium,Escalated,N,Y,Y,CA001207,,
AL001208,T0006362,20260329,20260329,C0031,R006,COR008,CH001,PR006,6726.51,71,Medium,Closed True Positive,N,Y,Y,CA001208,20260409.0,266.0
AL001209,T0006364,20250528,20250530,C0070,R007,COR010,CH004,PR004,26593.54,66,Medium,Closed False Positive,Y,N,N,,20250607.0,199.0
AL001210,T0006366,20260317,20260318,C0120,R010,COR011,CH007,PR005,15804.04,95,Critical,Escalated,N,Y,Y,CA001210,,
AL001211,T0006372,20260209,20260211,C0039,R004,COR007,CH004,PR004,3141.03,69,Medium,In Review,N,Y,Y,CA001211,,
AL001212,T0006381,20250622,20250622,C0095,R003,COR011,CH004,PR005,4074.11,81,High,Closed True Positive,N,Y,N,,20250702.0,246.0
AL001213,T0006384,20250306,20250307,C0060,R010,COR009,CH008,PR008,105865.67,89,Critical,Escalated,Y,N,Y,CA001213,,
AL001214,T0006395,20250520,20250522,C0020,R005,COR006,CH005,PR004,61769.21,89,Critical,Escalated,Y,N,Y,CA001214,,
AL001215,T0006403,20251012,20251014,C0122,R010,COR003,CH002,PR003,183127.82,88,Critical,Escalated,N,Y,Y,CA001215,,
AL001216,T0006404,20251014,20251014,C0166,R006,COR008,CH005,PR008,58532.46,79,High,Closed True Positive,N,Y,N,,20251025.0,276.0
AL001217,T0006405,20260506,20260508,C0092,R008,COR007,CH007,PR005,4031.53,77,High,Escalated,N,Y,Y,CA001217,,
AL001218,T0006406,20250831,20250902,C0018,R006,COR004,CH005,PR005,141766.07,93,Critical,SAR Filed,N,Y,Y,CA001218,20250910.0,204.0
AL001219,T0006417,20251219,20251221,C0047,R005,COR005,CH002,PR001,16634.08,79,High,In Review,Y,N,N,,,
AL001220,T0006420,20250725,20250727,C0176,R005,COR006,CH004,PR002,24896.66,71,Medium,Closed True Positive,N,Y,N,,20250729.0,54.0
AL001221,T0006422,20250906,20250907,C0117,R001,COR011,CH004,PR007,14000.0,80,High,Closed False Positive,Y,N,N,,20250915.0,206.0
AL001222,T0006439,20260417,20260417,C0070,R005,COR012,CH001,PR008,10009.99,91,Critical,SAR Filed,N,Y,Y,CA001222,20260419.0,63.0
AL001223,T0006445,20260301,20260301,C0039,R009,COR007,CH008,PR004,19455.46,72,Medium,In Review,Y,N,N,,,
AL001224,T0006446,20251001,20251003,C0138,R008,COR011,CH005,PR001,6748.24,82,High,Closed True Positive,N,Y,N,,20251017.0,340.0
AL001225,T0006447,20250520,20250520,C0043,R005,COR004,CH005,PR007,19291.83,55,Low,Closed False Positive,Y,N,N,,20250522.0,60.0
AL001226,T0006449,20250925,20250925,C0001,R001,COR010,CH006,PR003,67956.8,94,Critical,Closed True Positive,Y,N,Y,CA001226,20251007.0,291.0
AL001227,T0006454,20260416,20260418,C0127,R001,COR008,CH004,PR003,5583.69,80,High,Escalated,N,Y,Y,CA001227,,
AL001228,T0006463,20260424,20260425,C0076,R003,COR011,CH007,PR004,5046.24,91,Critical,SAR Filed,N,Y,Y,CA001228,20260426.0,37.0
AL001229,T0006464,20250902,20250903,C0132,R009,COR004,CH006,PR002,11644.96,82,High,In Review,Y,N,N,,,
AL001230,T0006467,20250909,20250910,C0019,R009,COR004,CH004,PR008,10736.39,79,High,In Review,N,Y,N,,,
AL001231,T0006470,20260322,20260322,C0035,R009,COR010,CH008,PR003,12000.0,84,High,Closed True Positive,N,Y,N,,20260401.0,253.0
AL001232,T0006471,20250630,20250630,C0167,R007,COR011,CH002,PR004,13009.31,98,Critical,SAR Filed,N,Y,Y,CA001232,20250705.0,135.0
AL001233,T0006480,20260524,20260526,C0159,R005,COR001,CH008,PR004,519000.0,78,High,In Review,N,Y,N,,,
AL001234,T0006488,20260509,20260511,C0004,R002,COR003,CH004,PR007,16336.07,89,Critical,SAR Filed,N,Y,Y,CA001234,20260525.0,349.0
AL001235,T0006497,20250204,20250204,C0036,R009,COR002,CH008,PR005,22783.5,83,High,SAR Filed,N,Y,Y,CA001235,20250209.0,125.0
AL001236,T0006503,20250226,20250228,C0160,R003,COR011,CH006,PR003,70000.0,85,High,In Review,N,Y,N,,,
AL001237,T0006507,20260505,20260506,C0013,R005,COR008,CH002,PR004,193124.08,85,High,In Review,N,Y,N,,,
AL001238,T0006510,20250520,20250521,C0160,R001,COR002,CH006,PR003,76161.22,86,High,Escalated,N,Y,Y,CA001238,,
AL001239,T0006513,20250324,20250325,C0083,R005,COR007,CH005,PR005,105011.84,97,Critical,SAR Filed,N,Y,Y,CA001239,20250327.0,54.0
AL001240,T0006516,20260312,20260314,C0047,R004,COR006,CH008,PR005,26159.0,98,Critical,SAR Filed,N,Y,Y,CA001240,20260316.0,58.0
AL001241,T0006521,20250327,20250327,C0158,R002,COR007,CH002,PR003,76000.0,92,Critical,Escalated,Y,N,Y,CA001241,,
AL001242,T0006522,20250925,20250925,C0143,R006,COR004,CH008,PR007,87000.0,82,High,Closed True Positive,N,Y,N,,20251006.0,274.0
AL001243,T0006526,20260310,20260311,C0053,R002,COR011,CH006,PR004,95690.3,93,Critical,SAR Filed,N,Y,Y,CA001243,20260320.0,220.0
AL001244,T0006527,20250203,20250204,C0073,R009,COR010,CH006,PR008,14688.88,80,High,New,Y,N,N,,,
AL001245,T0006531,20260405,20260406,C0121,R004,COR007,CH004,PR006,15000.0,87,High,In Review,Y,N,N,,,
AL001246,T0006532,20260502,20260502,C0158,R007,COR004,CH002,PR005,114975.13,62,Medium,Closed False Positive,Y,N,N,,20260511.0,227.0
AL001247,T0006534,20250907,20250907,C0062,R010,COR008,CH003,PR007,43862.53,74,High,New,Y,N,N,,,
AL001248,T0006537,20250820,20250821,C0175,R005,COR011,CH002,PR006,14874.09,80,High,Closed True Positive,N,Y,N,,20250903.0,315.0
AL001249,T0006538,20260214,20260215,C0025,R001,COR002,CH006,PR001,94137.51,88,Critical,Escalated,N,Y,Y,CA001249,,
AL001250,T0006543,20251030,20251030,C0002,R002,COR005,CH007,PR001,14645.76,67,Medium,In Review,N,Y,N,,,
AL001251,T0006549,20260407,20260407,C0148,R003,COR011,CH007,PR008,20021.89,87,High,SAR Filed,N,Y,Y,CA001251,20260420.0,314.0
AL001252,T0006550,20260216,20260218,C0001,R001,COR007,CH007,PR005,7493.64,84,High,Closed False Positive,Y,N,N,,20260222.0,101.0
AL001253,T0006554,20260124,20260126,C0123,R003,COR002,CH006,PR005,8316.76,69,Medium,Closed True Positive,N,Y,Y,CA001253,20260204.0,228.0
