CaseKey,AlertKey,CreatedDateKey,ClosedDateKey,CustomerKey,RuleKey,CorridorKey,AnalystKey,CasePriority,CaseStatus,Outcome,SARFiled,SLAHours,AgeDays,HoursToClose,IsOverdue,CaseAmountUSD
CA001228,AL001228,20260426,20260427.0,C0076,R003,COR011,A002,P1,SAR Filed,SAR Filed,Y,24,2,30.0,Y,5046.24
CA001232,AL001232,20250701,20250701.0,C0167,R007,COR011,A008,P1,SAR Filed,SAR Filed,Y,24,1,19.0,N,13009.31
CA001234,AL001234,20260511,20260511.0,C0004,R002,COR003,A007,P1,SAR Filed,SAR Filed,Y,24,1,7.0,N,16336.07
CA001235,AL001235,20250206,20250207.0,C0036,R009,COR002,A004,P2,SAR Filed,SAR Filed,Y,48,2,42.0,N,22783.5
CA001238,AL001238,20250523,20250524.0,C0160,R001,COR002,A007,P2,SAR Filed,SAR Filed,Y,48,2,31.0,N,76161.22
CA001239,AL001239,20250325,20250325.0,C0083,R005,COR007,A003,P1,SAR Filed,SAR Filed,Y,24,1,7.0,N,105011.84
CA001240,AL001240,20260315,20260315.0,C0047,R004,COR006,A006,P1,SAR Filed,SAR Filed,Y,24,1,14.0,N,26159.0
CA001241,AL001241,20250327,,C0158,R002,COR007,A004,P1,In Review,Pending,N,24,2,,Y,76000.0
CA001243,AL001243,20260311,20260311.0,C0053,R002,COR011,A005,P1,SAR Filed,SAR Filed,Y,24,1,10.0,N,95690.3
CA001249,AL001249,20260216,20260216.0,C0025,R001,COR002,A001,P1,SAR Filed,SAR Filed,Y,24,1,11.0,N,94137.51
CA001251,AL001251,20260407,20260415.0,C0148,R003,COR011,A008,P2,SAR Filed,SAR Filed,Y,48,9,194.0,Y,20021.89
CA001253,AL001253,20260126,20260128.0,C0123,R003,COR002,A001,P3,Closed,Confirmed Suspicious,N,96,3,62.0,N,8316.76
CA001254,AL001254,20250710,20250712.0,C0026,R002,COR004,A002,P1,SAR Filed,SAR Filed,Y,24,3,71.0,Y,12000.0
CA001255,AL001255,20260206,20260212.0,C0044,R005,COR009,A004,P2,SAR Filed,SAR Filed,Y,48,6,144.0,Y,267805.42
CA001258,AL001258,20260302,20260302.0,C0094,R001,COR010,A007,P1,SAR Filed,SAR Filed,Y,24,1,11.0,N,148000.0
CA001260,AL001260,20250920,20250922.0,C0038,R010,COR009,A002,P2,SAR Filed,SAR Filed,Y,48,3,69.0,Y,26317.49
CA001261,AL001261,20250703,,C0037,R003,COR001,A003,P3,In Review,Pending,N,96,8,,Y,119283.91
CA001264,AL001264,20260410,20260410.0,C0087,R002,COR006,A001,P1,SAR Filed,SAR Filed,Y,24,1,10.0,N,8873.21
CA001265,AL001265,20250502,,C0145,R001,COR006,A003,P3,In Review,Pending,N,96,8,,Y,21733.07
CA001267,AL001267,20250205,,C0086,R001,COR009,A003,P1,Open,Pending,N,24,2,,Y,37000.0
CA001269,AL001269,20250125,20250127.0,C0091,R005,COR007,A008,P2,SAR Filed,SAR Filed,Y,48,3,52.0,Y,34000.0
CA001272,AL001272,20250402,20250404.0,C0021,R003,COR010,A005,P1,SAR Filed,SAR Filed,Y,24,3,63.0,Y,46586.46
CA001276,AL001276,20250911,20250911.0,C0038,R009,COR007,A007,P1,SAR Filed,SAR Filed,Y,24,1,20.0,N,370343.42
CA001277,AL001277,20250720,20250720.0,C0110,R001,COR003,A006,P1,Closed,False Positive,N,24,1,20.0,N,17457.84
CA001278,AL001278,20260427,20260429.0,C0141,R003,COR011,A007,P1,Closed,False Positive,N,24,3,69.0,Y,67702.85
CA001281,AL001281,20250510,20250512.0,C0063,R010,COR011,A001,P2,SAR Filed,SAR Filed,Y,48,3,53.0,Y,2022.29
CA001282,AL001282,20250603,20250603.0,C0057,R009,COR009,A006,P1,Closed,False Positive,N,24,1,14.0,N,243409.58
CA001283,AL001283,20250130,20250205.0,C0009,R001,COR007,A006,P2,SAR Filed,SAR Filed,Y,48,7,167.0,Y,231172.78
CA001286,AL001286,20260522,20260522.0,C0101,R002,COR005,A008,P1,SAR Filed,SAR Filed,Y,24,1,16.0,N,145000.0
CA001287,AL001287,20250803,20250803.0,C0035,R001,COR003,A008,P2,SAR Filed,SAR Filed,Y,48,1,16.0,N,135196.7
CA001290,AL001290,20251107,20251110.0,C0044,R009,COR001,A004,P1,SAR Filed,SAR Filed,Y,24,4,84.0,Y,68000.0
CA001293,AL001293,20250914,20250914.0,C0148,R002,COR011,A007,P1,SAR Filed,SAR Filed,Y,24,1,11.0,N,163781.33
CA001296,AL001296,20260417,,C0100,R010,COR012,A007,P3,In Review,Pending,N,96,1,,N,126237.5
CA001297,AL001297,20250426,20250430.0,C0003,R005,COR008,A005,P1,SAR Filed,SAR Filed,Y,24,4,96.0,Y,15277.24
CA001298,AL001298,20250114,20250115.0,C0029,R003,COR003,A006,P2,SAR Filed,SAR Filed,Y,48,2,40.0,N,48926.65
CA001302,AL001302,20251110,20251111.0,C0145,R001,COR006,A001,P2,SAR Filed,SAR Filed,Y,48,2,32.0,N,14000.0
CA001304,AL001304,20251101,20251102.0,C0101,R009,COR002,A001,P2,SAR Filed,SAR Filed,Y,48,2,25.0,N,71933.45
CA001306,AL001306,20251030,20251030.0,C0116,R008,COR008,A004,P1,SAR Filed,SAR Filed,Y,24,1,6.0,N,39973.61
CA001307,AL001307,20260214,20260214.0,C0132,R003,COR007,A008,P1,SAR Filed,SAR Filed,Y,24,1,10.0,N,211000.0
CA001308,AL001308,20260126,20260126.0,C0157,R003,COR011,A005,P1,SAR Filed,SAR Filed,Y,24,1,7.0,N,598000.0
CA001310,AL001310,20250624,20250624.0,C0097,R007,COR002,A006,P1,SAR Filed,SAR Filed,Y,24,1,9.0,N,115000.0
CA001311,AL001311,20260409,20260409.0,C0082,R003,COR011,A006,P2,SAR Filed,SAR Filed,Y,48,1,22.0,N,44921.23
CA001312,AL001312,20250131,20250202.0,C0108,R003,COR007,A006,P3,Closed,Confirmed Suspicious,N,96,3,50.0,N,1522.44
CA001313,AL001313,20260412,20260412.0,C0064,R003,COR007,A002,P1,SAR Filed,SAR Filed,Y,24,1,8.0,N,253092.34
CA001316,AL001316,20251203,20251203.0,C0144,R009,COR009,A007,P1,SAR Filed,SAR Filed,Y,24,1,20.0,N,12781.86
CA001317,AL001317,20250915,20250915.0,C0180,R010,COR011,A002,P2,SAR Filed,SAR Filed,Y,48,1,13.0,N,10414.25
CA001321,AL001321,20251204,20251205.0,C0023,R002,COR006,A002,P2,Closed,Confirmed Suspicious,N,48,2,35.0,N,19000.0
CA001323,AL001323,20251006,20251006.0,C0094,R001,COR008,A002,P1,SAR Filed,SAR Filed,Y,24,1,8.0,N,130446.08
CA001324,AL001324,20260511,20260512.0,C0140,R003,COR002,A006,P2,SAR Filed,SAR Filed,Y,48,2,43.0,N,232000.0
CA001325,AL001325,20250428,,C0032,R001,COR004,A001,P1,In Review,Pending,N,24,5,,Y,111022.81
CA001327,AL001327,20251119,20251123.0,C0087,R002,COR006,A006,P1,SAR Filed,SAR Filed,Y,24,5,100.0,Y,17000.0
CA001331,AL001331,20260417,20260417.0,C0011,R002,COR011,A008,P1,SAR Filed,SAR Filed,Y,24,1,12.0,N,176000.0
CA001338,AL001338,20260114,20260114.0,C0146,R008,COR006,A006,P1,SAR Filed,SAR Filed,Y,24,1,19.0,N,78975.23
CA001339,AL001339,20250703,20250703.0,C0087,R002,COR008,A003,P1,Closed,False Positive,N,24,1,17.0,N,32000.0
CA001341,AL001341,20251004,20251004.0,C0097,R008,COR009,A004,P1,SAR Filed,SAR Filed,Y,24,1,22.0,N,48378.13
CA001343,AL001343,20260312,,C0026,R003,COR006,A007,P1,In Review,Pending,N,24,1,,Y,6028.1
CA001346,AL001346,20260503,20260508.0,C0111,R001,COR002,A005,P2,SAR Filed,SAR Filed,Y,48,6,142.0,Y,212986.85
CA001348,AL001348,20260112,20260119.0,C0056,R005,COR002,A003,P2,SAR Filed,SAR Filed,Y,48,7,168.0,Y,37000.0
CA001349,AL001349,20250626,20250626.0,C0112,R009,COR011,A002,P1,SAR Filed,SAR Filed,Y,24,1,12.0,N,26219.56
CA001350,AL001350,20251203,20251203.0,C0081,R001,COR010,A003,P1,SAR Filed,SAR Filed,Y,24,1,21.0,N,11672.37
CA001352,AL001352,20260508,20260509.0,C0162,R001,COR010,A006,P1,SAR Filed,SAR Filed,Y,24,2,31.0,Y,49476.3
CA001353,AL001353,20260522,,C0166,R004,COR008,A006,P3,In Review,Pending,N,96,5,,Y,866.76
CA001354,AL001354,20250201,20250201.0,C0155,R005,COR009,A006,P1,SAR Filed,SAR Filed,Y,24,1,13.0,N,59644.08
CA001355,AL001355,20250811,,C0166,R010,COR007,A004,P3,In Review,Pending,N,96,2,,N,126084.88
CA001356,AL001356,20250917,20250919.0,C0019,R005,COR003,A003,P1,SAR Filed,SAR Filed,Y,24,3,64.0,Y,132904.53
CA001357,AL001357,20250304,20250304.0,C0120,R009,COR005,A005,P1,Closed,False Positive,N,24,1,20.0,N,180255.15
CA001358,AL001358,20260512,,C0056,R001,COR009,A007,P2,Pending EDD,Pending,N,48,5,,Y,15000.0
CA001359,AL001359,20251003,20251003.0,C0100,R008,COR006,A008,P2,SAR Filed,SAR Filed,Y,48,1,9.0,N,16876.43
CA001362,AL001362,20260509,20260509.0,C0083,R003,COR007,A002,P1,SAR Filed,SAR Filed,Y,24,1,7.0,N,30852.92
CA001364,AL001364,20260408,20260411.0,C0154,R001,COR007,A002,P1,SAR Filed,SAR Filed,Y,24,4,75.0,Y,9000.0
CA001365,AL001365,20260419,20260419.0,C0003,R002,COR007,A008,P1,SAR Filed,SAR Filed,Y,24,1,17.0,N,5412.68
CA001367,AL001367,20250211,20250213.0,C0069,R002,COR003,A001,P1,SAR Filed,SAR Filed,Y,24,3,51.0,Y,1578000.0
CA001370,AL001370,20251213,20251213.0,C0056,R006,COR008,A007,P1,SAR Filed,SAR Filed,Y,24,1,21.0,N,677370.7
CA001373,AL001373,20251109,20251111.0,C0162,R010,COR003,A007,P1,SAR Filed,SAR Filed,Y,24,3,55.0,Y,281179.1
CA001375,AL001375,20260203,20260203.0,C0141,R008,COR003,A008,P1,SAR Filed,SAR Filed,Y,24,1,15.0,N,9169.57
CA001377,AL001377,20260107,20260110.0,C0012,R010,COR007,A002,P2,SAR Filed,SAR Filed,Y,48,4,86.0,Y,14000.0
CA001378,AL001378,20250224,,C0015,R006,COR012,A001,P3,In Review,Pending,N,96,0,,N,1883.37
CA001379,AL001379,20250427,20250427.0,C0131,R004,COR001,A007,P2,SAR Filed,SAR Filed,Y,48,1,11.0,N,9604.36
CA001380,AL001380,20260601,20260601.0,C0111,R003,COR006,A006,P1,SAR Filed,SAR Filed,Y,24,1,11.0,N,80766.46
CA001381,AL001381,20251114,,C0170,R005,COR008,A004,P3,Open,Pending,N,96,2,,N,180616.13
CA001385,AL001385,20250625,20250628.0,C0080,R010,COR001,A001,P3,Closed,Confirmed Suspicious,N,96,4,82.0,N,3422.03
CA001386,AL001386,20250717,20250719.0,C0131,R007,COR006,A005,P1,SAR Filed,SAR Filed,Y,24,3,60.0,Y,8000.0
CA001387,AL001387,20260426,20260426.0,C0157,R003,COR005,A003,P2,SAR Filed,SAR Filed,Y,48,1,16.0,N,16491.14
CA001389,AL001389,20250826,,C0103,R002,COR007,A003,P3,In Review,Pending,N,96,5,,Y,4786.77
CA001390,AL001390,20260311,20260311.0,C0175,R004,COR008,A006,P1,SAR Filed,SAR Filed,Y,24,1,17.0,N,272048.35
CA001391,AL001391,20250922,20250923.0,C0027,R001,COR006,A004,P1,SAR Filed,SAR Filed,Y,24,2,43.0,Y,10021.33
CA001395,AL001395,20251113,20251115.0,C0097,R006,COR007,A002,P1,Closed,False Positive,N,24,3,62.0,Y,139000.0
CA001403,AL001403,20260113,20260114.0,C0103,R005,COR007,A003,P2,SAR Filed,SAR Filed,Y,48,2,27.0,N,5491.4
CA001406,AL001406,20260523,20260525.0,C0015,R001,COR008,A007,P2,SAR Filed,SAR Filed,Y,48,3,58.0,Y,22004.06
CA001408,AL001408,20251207,20251210.0,C0007,R010,COR011,A005,P1,Closed,False Positive,N,24,4,81.0,Y,51449.49
CA001409,AL001409,20260420,20260424.0,C0133,R006,COR006,A006,P1,SAR Filed,SAR Filed,Y,24,5,99.0,Y,31973.27
CA001410,AL001410,20250803,20250804.0,C0044,R008,COR007,A003,P2,SAR Filed,SAR Filed,Y,48,2,44.0,N,71336.73
CA001412,AL001412,20260419,20260419.0,C0071,R004,COR003,A003,P1,SAR Filed,SAR Filed,Y,24,1,17.0,N,9860.87
CA001413,AL001413,20250116,20250116.0,C0179,R002,COR009,A003,P3,Closed,Confirmed Suspicious,N,96,1,12.0,N,5469.12
CA001414,AL001414,20251226,,C0121,R002,COR003,A001,P3,Open,Pending,N,96,2,,N,39850.15
CA001416,AL001416,20250419,20250420.0,C0148,R009,COR010,A006,P1,SAR Filed,SAR Filed,Y,24,2,36.0,Y,32000.0
CA001419,AL001419,20250308,,C0007,R001,COR009,A004,P1,In Review,Pending,N,24,1,,Y,64702.62
CA001420,AL001420,20251018,20251024.0,C0161,R007,COR002,A002,P2,Closed,Confirmed Suspicious,N,48,7,160.0,Y,52594.26
CA001421,AL001421,20250525,20250527.0,C0045,R007,COR007,A005,P1,SAR Filed,SAR Filed,Y,24,3,59.0,Y,31000.0
CA001423,AL001423,20260511,20260511.0,C0169,R006,COR004,A002,P1,Closed,False Positive,N,24,1,11.0,N,1683648.82
CA001424,AL001424,20260101,20260101.0,C0111,R005,COR004,A007,P1,Closed,False Positive,N,24,1,12.0,N,45000.0
CA001425,AL001425,20260320,20260320.0,C0099,R003,COR007,A006,P1,SAR Filed,SAR Filed,Y,24,1,17.0,N,4322.56
CA001426,AL001426,20250604,20250605.0,C0113,R010,COR009,A007,P2,SAR Filed,SAR Filed,Y,48,2,36.0,N,56000.0
CA001428,AL001428,20250303,20250306.0,C0118,R009,COR011,A002,P1,SAR Filed,SAR Filed,Y,24,4,91.0,Y,57928.56
CA001431,AL001431,20250422,20250423.0,C0028,R004,COR012,A002,P2,SAR Filed,SAR Filed,Y,48,2,25.0,N,31283.29
CA001433,AL001433,20250426,20250428.0,C0028,R009,COR010,A006,P1,SAR Filed,SAR Filed,Y,24,3,69.0,Y,311738.67
CA001434,AL001434,20250624,20250624.0,C0066,R009,COR012,A006,P2,SAR Filed,SAR Filed,Y,48,1,6.0,N,42174.5
CA001435,AL001435,20260510,20260513.0,C0063,R003,COR006,A002,P3,Closed,Confirmed Suspicious,N,96,4,76.0,N,87803.88
CA001436,AL001436,20250906,20250912.0,C0117,R003,COR007,A007,P2,SAR Filed,SAR Filed,Y,48,7,162.0,Y,22586.19
CA001438,AL001438,20250413,20250413.0,C0115,R003,COR012,A001,P1,SAR Filed,SAR Filed,Y,24,1,9.0,N,18000.0
CA001439,AL001439,20260522,20260524.0,C0026,R008,COR007,A006,P2,SAR Filed,SAR Filed,Y,48,3,55.0,Y,4222.36
CA001442,AL001442,20260403,20260404.0,C0116,R002,COR009,A002,P1,SAR Filed,SAR Filed,Y,24,2,40.0,Y,17000.0
CA001443,AL001443,20250729,20250729.0,C0179,R001,COR007,A008,P1,SAR Filed,SAR Filed,Y,24,1,14.0,N,3713.46
CA001445,AL001445,20260420,20260420.0,C0139,R001,COR011,A008,P1,SAR Filed,SAR Filed,Y,24,1,14.0,N,33000.0
CA001446,AL001446,20260309,20260309.0,C0075,R001,COR009,A005,P2,SAR Filed,SAR Filed,Y,48,1,23.0,N,7301.44
CA001447,AL001447,20250511,20250511.0,C0083,R003,COR011,A004,P1,SAR Filed,SAR Filed,Y,24,1,13.0,N,6069.42
CA001450,AL001450,20250718,20250718.0,C0063,R005,COR008,A001,P1,SAR Filed,SAR Filed,Y,24,1,13.0,N,6895.26
CA001451,AL001451,20251104,20251104.0,C0163,R004,COR011,A005,P2,SAR Filed,SAR Filed,Y,48,1,14.0,N,62636.41
CA001452,AL001452,20260421,20260422.0,C0055,R008,COR012,A005,P2,SAR Filed,SAR Filed,Y,48,1,24.0,N,183788.13
CA001453,AL001453,20260425,,C0095,R001,COR008,A002,P3,In Review,Pending,N,96,8,,Y,568.14
CA001455,AL001455,20260525,20260526.0,C0173,R003,COR003,A002,P2,SAR Filed,SAR Filed,Y,48,2,26.0,N,110000.0
CA001456,AL001456,20250903,,C0020,R003,COR006,A003,P1,Open,Pending,N,24,5,,Y,106569.38
CA001458,AL001458,20250811,20250811.0,C0098,R009,COR007,A007,P1,SAR Filed,SAR Filed,Y,24,1,13.0,N,2897.44
CA001459,AL001459,20260207,20260207.0,C0089,R001,COR006,A001,P1,SAR Filed,SAR Filed,Y,24,1,17.0,N,10901.9
CA001460,AL001460,20260407,20260410.0,C0020,R003,COR006,A005,P3,Closed,Confirmed Suspicious,N,96,4,86.0,N,2102.98
CA001465,AL001465,20251202,20251202.0,C0146,R001,COR010,A008,P1,SAR Filed,SAR Filed,Y,24,1,18.0,N,95927.49
CA001466,AL001466,20251111,20251112.0,C0175,R005,COR004,A005,P2,SAR Filed,SAR Filed,Y,48,2,32.0,N,146665.93
CA001468,AL001468,20251209,20251209.0,C0101,R003,COR009,A001,P1,SAR Filed,SAR Filed,Y,24,1,12.0,N,209143.67
CA001470,AL001470,20250423,20250423.0,C0122,R010,COR005,A002,P3,Closed,Confirmed Suspicious,N,96,1,10.0,N,6533.8
CA001475,AL001475,20260503,,C0128,R009,COR007,A001,P1,Pending EDD,Pending,N,24,0,,N,8223.07
CA001476,AL001476,20251223,20251223.0,C0075,R005,COR009,A007,P1,SAR Filed,SAR Filed,Y,24,1,7.0,N,58134.31
CA001478,AL001478,20260507,20260510.0,C0099,R001,COR010,A008,P1,SAR Filed,SAR Filed,Y,24,4,88.0,Y,63030.89
CA001480,AL001480,20260318,20260318.0,C0017,R004,COR009,A002,P1,SAR Filed,SAR Filed,Y,24,1,14.0,N,75000.0
CA001481,AL001481,20250706,20250707.0,C0053,R003,COR011,A008,P1,SAR Filed,SAR Filed,Y,24,2,27.0,Y,10000.0
CA001482,AL001482,20251027,20251027.0,C0169,R005,COR006,A007,P1,SAR Filed,SAR Filed,Y,24,1,14.0,N,113931.27
CA001483,AL001483,20251026,,C0021,R003,COR007,A002,P1,Pending EDD,Pending,N,24,13,,Y,19294.72
CA001484,AL001484,20250808,20250808.0,C0157,R002,COR012,A008,P1,SAR Filed,SAR Filed,Y,24,1,6.0,N,16000.0
CA001487,AL001487,20260507,20260507.0,C0021,R001,COR010,A006,P1,Closed,False Positive,N,24,1,15.0,N,15000.0
CA001489,AL001489,20250430,20250501.0,C0110,R007,COR005,A008,P2,SAR Filed,SAR Filed,Y,48,2,34.0,N,9674.59
CA001490,AL001490,20250703,20250704.0,C0101,R002,COR007,A007,P1,SAR Filed,SAR Filed,Y,24,2,29.0,Y,54249.8
CA001492,AL001492,20260422,20260422.0,C0101,R008,COR007,A007,P1,SAR Filed,SAR Filed,Y,24,1,15.0,N,206617.87
CA001493,AL001493,20251008,20251015.0,C0180,R003,COR012,A005,P2,SAR Filed,SAR Filed,Y,48,8,183.0,Y,9814.51
CA001495,AL001495,20260225,20260225.0,C0032,R007,COR009,A006,P1,SAR Filed,SAR Filed,Y,24,1,12.0,N,33441.61
CA001497,AL001497,20251226,20251226.0,C0059,R001,COR002,A003,P1,Closed,False Positive,N,24,1,10.0,N,44000.0
CA001498,AL001498,20260327,20260329.0,C0051,R001,COR011,A003,P1,SAR Filed,SAR Filed,Y,24,3,60.0,Y,4202.03
CA001499,AL001499,20260420,20260422.0,C0140,R001,COR008,A004,P1,SAR Filed,SAR Filed,Y,24,3,60.0,Y,35717.62
CA001501,AL001501,20250510,20250510.0,C0118,R006,COR007,A005,P1,Closed,False Positive,N,24,1,8.0,N,74278.87
CA001505,AL001505,20260406,20260407.0,C0007,R010,COR002,A005,P2,SAR Filed,SAR Filed,Y,48,2,25.0,N,205793.03
CA001506,AL001506,20250731,,C0008,R002,COR009,A005,P3,In Review,Pending,N,96,2,,N,31000.0
CA001507,AL001507,20250428,20250428.0,C0001,R003,COR011,A006,P1,SAR Filed,SAR Filed,Y,24,1,19.0,N,44271.23
CA001510,AL001510,20250528,20250528.0,C0120,R002,COR008,A008,P1,SAR Filed,SAR Filed,Y,24,1,13.0,N,183853.72
CA001511,AL001511,20250721,20250721.0,C0149,R010,COR008,A008,P2,SAR Filed,SAR Filed,Y,48,1,14.0,N,35529.31
CA001513,AL001513,20260403,20260406.0,C0171,R002,COR002,A004,P2,SAR Filed,SAR Filed,Y,48,4,86.0,Y,43053.72
CA001514,AL001514,20260516,20260517.0,C0003,R002,COR009,A006,P2,SAR Filed,SAR Filed,Y,48,2,31.0,N,2079.6
CA001515,AL001515,20250715,20250715.0,C0081,R004,COR002,A006,P1,SAR Filed,SAR Filed,Y,24,1,21.0,N,12000.0
CA001516,AL001516,20250306,,C0178,R005,COR005,A001,P2,In Review,Pending,N,48,5,,Y,57172.6
CA001518,AL001518,20260205,20260210.0,C0179,R003,COR009,A004,P2,SAR Filed,SAR Filed,Y,48,6,129.0,Y,4109.88
CA001520,AL001520,20250209,20250209.0,C0102,R003,COR012,A001,P1,SAR Filed,SAR Filed,Y,24,1,16.0,N,162178.36
CA001521,AL001521,20250907,20250908.0,C0042,R007,COR011,A003,P2,SAR Filed,SAR Filed,Y,48,2,40.0,N,4592.26
CA001522,AL001522,20251105,20251105.0,C0075,R002,COR007,A007,P1,SAR Filed,SAR Filed,Y,24,1,9.0,N,16960.33
CA001525,AL001525,20250404,20250405.0,C0142,R004,COR006,A008,P1,Closed,False Positive,N,24,2,37.0,Y,13482.38
CA001527,AL001527,20260414,20260414.0,C0076,R001,COR007,A008,P2,SAR Filed,SAR Filed,Y,48,1,6.0,N,25000.0
CA001532,AL001532,20260525,20260525.0,C0003,R007,COR002,A005,P1,SAR Filed,SAR Filed,Y,24,1,9.0,N,53300.05
CA001534,AL001534,20251004,20251007.0,C0071,R008,COR008,A002,P1,Closed,False Positive,N,24,4,74.0,Y,35000.0
CA001537,AL001537,20250630,20250701.0,C0074,R005,COR011,A001,P2,SAR Filed,SAR Filed,Y,48,2,29.0,N,13669.87
CA001538,AL001538,20250802,,C0018,R002,COR009,A002,P3,In Review,Pending,N,96,1,,N,20753.91
CA001540,AL001540,20250505,20250505.0,C0168,R009,COR009,A003,P2,SAR Filed,SAR Filed,Y,48,1,11.0,N,8626.32
CA001544,AL001544,20251213,20251213.0,C0160,R002,COR004,A003,P1,SAR Filed,SAR Filed,Y,24,1,18.0,N,39000.0
CA001545,AL001545,20260104,20260105.0,C0131,R009,COR012,A008,P2,SAR Filed,SAR Filed,Y,48,1,24.0,N,10389.57
CA001546,AL001546,20250409,20250413.0,C0154,R005,COR011,A005,P1,Closed,False Positive,N,24,5,98.0,Y,38814.11
CA001549,AL001549,20250502,20250507.0,C0028,R002,COR001,A003,P2,SAR Filed,SAR Filed,Y,48,6,141.0,Y,92009.94
CA001550,AL001550,20251116,20251118.0,C0133,R008,COR006,A008,P1,SAR Filed,SAR Filed,Y,24,3,63.0,Y,23000.0
CA001551,AL001551,20250115,20250115.0,C0020,R001,COR001,A007,P2,SAR Filed,SAR Filed,Y,48,1,11.0,N,48870.86
CA001553,AL001553,20260528,,C0035,R010,COR010,A006,P1,In Review,Pending,N,24,3,,Y,10933.84
CA001554,AL001554,20260505,20260512.0,C0031,R005,COR009,A005,P2,SAR Filed,SAR Filed,Y,48,8,176.0,Y,44955.37
CA001555,AL001555,20251127,20251130.0,C0065,R003,COR007,A006,P1,SAR Filed,SAR Filed,Y,24,4,74.0,Y,67000.0
CA001556,AL001556,20251017,,C0145,R004,COR006,A004,P2,Pending EDD,Pending,N,48,3,,Y,20159.2
CA001557,AL001557,20250627,20250702.0,C0053,R003,COR009,A006,P2,SAR Filed,SAR Filed,Y,48,6,126.0,Y,25000.0
CA001558,AL001558,20250713,20250714.0,C0102,R008,COR005,A008,P2,SAR Filed,SAR Filed,Y,48,2,33.0,N,20337.68
CA001560,AL001560,20250202,20250202.0,C0076,R002,COR002,A007,P1,SAR Filed,SAR Filed,Y,24,1,20.0,N,13846.05
CA001561,AL001561,20250916,20250917.0,C0030,R010,COR001,A008,P2,SAR Filed,SAR Filed,Y,48,2,27.0,N,9710.24
CA001563,AL001563,20250720,20250720.0,C0146,R005,COR002,A008,P2,SAR Filed,SAR Filed,Y,48,1,8.0,N,116530.67
CA001564,AL001564,20250522,20250523.0,C0091,R003,COR011,A004,P2,SAR Filed,SAR Filed,Y,48,2,33.0,N,50000.0
CA001565,AL001565,20250608,20250608.0,C0154,R001,COR012,A002,P2,SAR Filed,SAR Filed,Y,48,1,16.0,N,20000.0
CA001568,AL001568,20250306,20250306.0,C0041,R001,COR005,A005,P1,SAR Filed,SAR Filed,Y,24,1,16.0,N,31000.0
CA001569,AL001569,20260505,20260508.0,C0024,R003,COR011,A004,P1,SAR Filed,SAR Filed,Y,24,4,74.0,Y,148697.25
CA001570,AL001570,20260122,,C0081,R010,COR006,A003,P1,In Review,Pending,N,24,0,,N,69809.07
CA001572,AL001572,20250904,,C0026,R003,COR008,A004,P1,In Review,Pending,N,24,3,,Y,7281.88
CA001575,AL001575,20251220,,C0167,R008,COR004,A006,P1,In Review,Pending,N,24,3,,Y,10126.56
CA001576,AL001576,20250902,,C0012,R001,COR004,A008,P3,In Review,Pending,N,96,8,,Y,4632.25
CA001577,AL001577,20250826,,C0100,R001,COR009,A002,P3,In Review,Pending,N,96,5,,Y,26840.87
CA001579,AL001579,20260410,20260411.0,C0023,R007,COR008,A001,P2,SAR Filed,SAR Filed,Y,48,2,42.0,N,7892.71
CA001581,AL001581,20250507,,C0094,R002,COR010,A001,P3,Open,Pending,N,96,2,,N,15518.67
CA001582,AL001582,20250325,20250325.0,C0081,R003,COR001,A006,P1,SAR Filed,SAR Filed,Y,24,1,22.0,N,213137.16
CA001585,AL001585,20250604,20250605.0,C0059,R009,COR010,A006,P2,SAR Filed,SAR Filed,Y,48,2,33.0,N,55854.81
CA001587,AL001587,20250512,,C0164,R003,COR011,A005,P1,Open,Pending,N,24,1,,Y,16600.87
CA001592,AL001592,20260221,20260221.0,C0014,R009,COR009,A002,P1,SAR Filed,SAR Filed,Y,24,1,20.0,N,107830.72
CA001595,AL001595,20250901,20250904.0,C0012,R002,COR011,A005,P1,SAR Filed,SAR Filed,Y,24,4,84.0,Y,111279.07
CA001598,AL001598,20251127,20251128.0,C0161,R001,COR001,A005,P2,SAR Filed,SAR Filed,Y,48,2,38.0,N,65007.17
CA001599,AL001599,20260105,20260105.0,C0157,R002,COR006,A005,P1,SAR Filed,SAR Filed,Y,24,1,6.0,N,11000.0
CA001600,AL001600,20251123,20251125.0,C0080,R004,COR002,A003,P1,SAR Filed,SAR Filed,Y,24,3,71.0,Y,60508.8
CA001602,AL001602,20250321,20250323.0,C0086,R003,COR007,A007,P1,SAR Filed,SAR Filed,Y,24,3,58.0,Y,35000.0
CA001604,AL001604,20250408,20250408.0,C0156,R002,COR002,A007,P1,SAR Filed,SAR Filed,Y,24,1,15.0,N,154463.56
CA001607,AL001607,20250618,20250622.0,C0005,R001,COR011,A007,P2,SAR Filed,SAR Filed,Y,48,5,107.0,Y,34658.27
CA001608,AL001608,20250701,20250702.0,C0059,R008,COR006,A006,P2,SAR Filed,SAR Filed,Y,48,2,39.0,N,118000.0
CA001610,AL001610,20260116,20260116.0,C0006,R001,COR006,A001,P1,SAR Filed,SAR Filed,Y,24,1,6.0,N,129080.79
CA001613,AL001613,20250418,20250418.0,C0165,R003,COR011,A001,P1,SAR Filed,SAR Filed,Y,24,1,21.0,N,211119.65
CA001617,AL001617,20250907,20250907.0,C0137,R001,COR007,A006,P2,SAR Filed,SAR Filed,Y,48,1,20.0,N,17000.0
