CostDriverKey,RevenueDriverKey,MonthStart,PlanPeriod,ScenarioKey,RegionKey,ServiceKey,SegmentKey,CarrierCostUSD,HandlingCostUSD,FuelCostUSD,CustomsCostUSD,DirectCostUSD,VariableCostPerJobUSD,CostInflationPct,DateKey,YearMonth
COST_202405_ACTUAL_CN_CUS_MM,202405_ACTUAL_CN_CUS_MM,2024-05-01,Actual,ACTUAL,CN,CUS,MM,12745.8,7494.87,1073.18,3780.0,25093.84,185.88,0.018,20240501,2024-05
COST_202405_ACTUAL_CN_CUS_SME,202405_ACTUAL_CN_CUS_SME,2024-05-01,Actual,ACTUAL,CN,CUS,SME,9946.61,2498.08,837.49,2968.0,16250.19,153.3,0.018,20240501,2024-05
COST_202405_ACTUAL_CN_CUS_SKA,202405_ACTUAL_CN_CUS_SKA,2024-05-01,Actual,ACTUAL,CN,CUS,SKA,15471.5,12112.81,1302.68,4872.0,33759.0,194.02,0.018,20240501,2024-05
COST_202405_ACTUAL_CN_TRK_ENT,202405_ACTUAL_CN_TRK_ENT,2024-05-01,Actual,ACTUAL,CN,TRK,ENT,37555.53,13660.59,2781.98,1752.45,55750.55,294.98,0.018,20240501,2024-05
COST_202405_ACTUAL_CN_TRK_MM,202405_ACTUAL_CN_TRK_MM,2024-05-01,Actual,ACTUAL,CN,TRK,MM,32304.24,8093.84,2392.98,909.31,43700.38,278.35,0.018,20240501,2024-05
COST_202405_ACTUAL_CN_TRK_SME,202405_ACTUAL_CN_TRK_SME,2024-05-01,Actual,ACTUAL,CN,TRK,SME,25283.86,4453.59,1872.94,935.41,32545.8,254.26,0.018,20240501,2024-05
COST_202405_ACTUAL_CN_TRK_SKA,202405_ACTUAL_CN_TRK_SKA,2024-05-01,Actual,ACTUAL,CN,TRK,SKA,43589.31,13304.25,3228.94,1367.89,61490.39,290.05,0.018,20240501,2024-05
COST_202406_ACTUAL_VN_NORTH_AIR_ENT,202406_ACTUAL_VN_NORTH_AIR_ENT,2024-06-01,Actual,ACTUAL,VN_NORTH,AIR,ENT,113756.02,5581.79,7449.64,744.56,127532.02,1159.38,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_AIR_MM,202406_ACTUAL_VN_NORTH_AIR_MM,2024-06-01,Actual,ACTUAL,VN_NORTH,AIR,MM,88724.49,5901.28,5810.38,416.82,100852.97,1215.1,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_AIR_SME,202406_ACTUAL_VN_NORTH_AIR_SME,2024-06-01,Actual,ACTUAL,VN_NORTH,AIR,SME,73725.6,3367.99,4828.13,367.19,82288.92,1265.98,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_AIR_SKA,202406_ACTUAL_VN_NORTH_AIR_SKA,2024-06-01,Actual,ACTUAL,VN_NORTH,AIR,SKA,118601.12,3722.84,7766.94,686.62,130777.52,1137.2,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_FCL_ENT,202406_ACTUAL_VN_NORTH_FCL_ENT,2024-06-01,Actual,ACTUAL,VN_NORTH,FCL,ENT,132069.11,6047.75,6397.84,1432.87,145947.56,868.74,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_FCL_MM,202406_ACTUAL_VN_NORTH_FCL_MM,2024-06-01,Actual,ACTUAL,VN_NORTH,FCL,MM,113487.82,7857.82,5497.7,1336.62,128179.96,884.0,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_FCL_SME,202406_ACTUAL_VN_NORTH_FCL_SME,2024-06-01,Actual,ACTUAL,VN_NORTH,FCL,SME,90973.7,6313.65,4407.05,1048.98,102743.38,870.71,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_FCL_SKA,202406_ACTUAL_VN_NORTH_FCL_SKA,2024-06-01,Actual,ACTUAL,VN_NORTH,FCL,SKA,144436.7,12328.76,6996.96,1753.32,165515.74,875.74,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_LCL_ENT,202406_ACTUAL_VN_NORTH_LCL_ENT,2024-06-01,Actual,ACTUAL,VN_NORTH,LCL,ENT,60454.54,3746.87,3190.87,1456.26,68848.53,441.34,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_LCL_MM,202406_ACTUAL_VN_NORTH_LCL_MM,2024-06-01,Actual,ACTUAL,VN_NORTH,LCL,MM,47530.84,4247.27,2508.74,806.64,55093.49,430.42,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_LCL_SME,202406_ACTUAL_VN_NORTH_LCL_SME,2024-06-01,Actual,ACTUAL,VN_NORTH,LCL,SME,36159.21,6466.67,1908.53,295.65,44830.06,498.11,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_LCL_SKA,202406_ACTUAL_VN_NORTH_LCL_SKA,2024-06-01,Actual,ACTUAL,VN_NORTH,LCL,SKA,61594.63,7233.04,3251.04,1076.82,73155.53,435.45,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_CLS_ENT,202406_ACTUAL_VN_NORTH_CLS_ENT,2024-06-01,Actual,ACTUAL,VN_NORTH,CLS,ENT,71789.63,1806.1,4377.12,834.15,78807.0,938.18,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_CLS_MM,202406_ACTUAL_VN_NORTH_CLS_MM,2024-06-01,Actual,ACTUAL,VN_NORTH,CLS,MM,68837.46,2787.67,4197.12,616.2,76438.45,967.58,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_CLS_SME,202406_ACTUAL_VN_NORTH_CLS_SME,2024-06-01,Actual,ACTUAL,VN_NORTH,CLS,SME,48019.58,4060.55,2927.82,524.69,55532.64,910.37,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_CLS_SKA,202406_ACTUAL_VN_NORTH_CLS_SKA,2024-06-01,Actual,ACTUAL,VN_NORTH,CLS,SKA,80886.95,5268.64,4931.8,322.37,91409.75,878.94,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_CUS_ENT,202406_ACTUAL_VN_NORTH_CUS_ENT,2024-06-01,Actual,ACTUAL,VN_NORTH,CUS,ENT,16566.82,5009.69,1394.9,5236.0,28207.41,150.84,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_CUS_MM,202406_ACTUAL_VN_NORTH_CUS_MM,2024-06-01,Actual,ACTUAL,VN_NORTH,CUS,MM,14561.98,4720.2,1226.1,4704.0,25212.28,150.07,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_CUS_SME,202406_ACTUAL_VN_NORTH_CUS_SME,2024-06-01,Actual,ACTUAL,VN_NORTH,CUS,SME,12356.61,2957.84,1040.41,3556.0,19910.86,156.78,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_CUS_SKA,202406_ACTUAL_VN_NORTH_CUS_SKA,2024-06-01,Actual,ACTUAL,VN_NORTH,CUS,SKA,20448.05,4725.77,1721.7,6104.0,32999.52,151.37,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_TRK_ENT,202406_ACTUAL_VN_NORTH_TRK_ENT,2024-06-01,Actual,ACTUAL,VN_NORTH,TRK,ENT,44778.15,13479.94,3317.01,1151.42,62726.5,275.12,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_TRK_MM,202406_ACTUAL_VN_NORTH_TRK_MM,2024-06-01,Actual,ACTUAL,VN_NORTH,TRK,MM,38425.45,14562.99,2846.42,1566.59,57401.45,285.58,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_TRK_SME,202406_ACTUAL_VN_NORTH_TRK_SME,2024-06-01,Actual,ACTUAL,VN_NORTH,TRK,SME,33962.76,9398.54,2515.84,778.84,46655.99,288.0,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_NORTH_TRK_SKA,202406_ACTUAL_VN_NORTH_TRK_SKA,2024-06-01,Actual,ACTUAL,VN_NORTH,TRK,SKA,51147.24,15993.44,3788.81,1860.67,72790.16,276.77,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_AIR_ENT,202406_ACTUAL_VN_SOUTH_AIR_ENT,2024-06-01,Actual,ACTUAL,VN_SOUTH,AIR,ENT,123855.51,8779.37,8111.04,433.05,141178.97,1147.8,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_AIR_MM,202406_ACTUAL_VN_SOUTH_AIR_MM,2024-06-01,Actual,ACTUAL,VN_SOUTH,AIR,MM,95725.14,5205.95,6268.84,443.74,107643.66,1145.15,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_AIR_SME,202406_ACTUAL_VN_SOUTH_AIR_SME,2024-06-01,Actual,ACTUAL,VN_SOUTH,AIR,SME,82375.62,2776.38,5394.61,567.7,91114.31,1214.86,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_AIR_SKA,202406_ACTUAL_VN_SOUTH_AIR_SKA,2024-06-01,Actual,ACTUAL,VN_SOUTH,AIR,SKA,136440.47,8541.16,8935.2,749.81,154666.64,1198.97,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_FCL_ENT,202406_ACTUAL_VN_SOUTH_FCL_ENT,2024-06-01,Actual,ACTUAL,VN_SOUTH,FCL,ENT,145157.52,11532.43,7031.88,1852.06,165573.89,876.05,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_FCL_MM,202406_ACTUAL_VN_SOUTH_FCL_MM,2024-06-01,Actual,ACTUAL,VN_SOUTH,FCL,MM,129004.75,6261.19,6249.39,623.33,142138.66,836.11,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_FCL_SME,202406_ACTUAL_VN_SOUTH_FCL_SME,2024-06-01,Actual,ACTUAL,VN_SOUTH,FCL,SME,85673.45,6445.7,4150.29,489.3,96758.74,879.62,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_FCL_SKA,202406_ACTUAL_VN_SOUTH_FCL_SKA,2024-06-01,Actual,ACTUAL,VN_SOUTH,FCL,SKA,151350.42,3886.8,7331.88,671.25,163240.36,804.14,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_LCL_ENT,202406_ACTUAL_VN_SOUTH_LCL_ENT,2024-06-01,Actual,ACTUAL,VN_SOUTH,LCL,ENT,55119.63,7611.7,2909.28,1054.73,66695.34,422.12,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_LCL_MM,202406_ACTUAL_VN_SOUTH_LCL_MM,2024-06-01,Actual,ACTUAL,VN_SOUTH,LCL,MM,50423.11,4801.87,2661.4,711.01,58597.38,430.86,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_LCL_SME,202406_ACTUAL_VN_SOUTH_LCL_SME,2024-06-01,Actual,ACTUAL,VN_SOUTH,LCL,SME,42795.89,5009.69,2258.82,1090.63,51155.04,452.7,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_LCL_SKA,202406_ACTUAL_VN_SOUTH_LCL_SKA,2024-06-01,Actual,ACTUAL,VN_SOUTH,LCL,SKA,68539.31,11315.63,3617.59,717.55,84190.08,429.54,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_CLS_ENT,202406_ACTUAL_VN_SOUTH_CLS_ENT,2024-06-01,Actual,ACTUAL,VN_SOUTH,CLS,ENT,87106.53,2316.1,5311.01,618.49,95352.14,899.55,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_CLS_MM,202406_ACTUAL_VN_SOUTH_CLS_MM,2024-06-01,Actual,ACTUAL,VN_SOUTH,CLS,MM,71353.4,2158.08,4350.52,798.41,78660.41,874.0,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_CLS_SME,202406_ACTUAL_VN_SOUTH_CLS_SME,2024-06-01,Actual,ACTUAL,VN_SOUTH,CLS,SME,51837.37,4136.99,3160.6,300.42,59435.39,958.64,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_CLS_SKA,202406_ACTUAL_VN_SOUTH_CLS_SKA,2024-06-01,Actual,ACTUAL,VN_SOUTH,CLS,SKA,87927.68,3347.77,5361.08,755.51,97392.04,869.57,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_CUS_ENT,202406_ACTUAL_VN_SOUTH_CUS_ENT,2024-06-01,Actual,ACTUAL,VN_SOUTH,CUS,ENT,22766.18,14132.36,1916.88,6972.0,45787.42,183.89,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_CUS_MM,202406_ACTUAL_VN_SOUTH_CUS_MM,2024-06-01,Actual,ACTUAL,VN_SOUTH,CUS,MM,18188.37,8939.03,1531.44,5544.0,34202.84,172.74,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_CUS_SME,202406_ACTUAL_VN_SOUTH_CUS_SME,2024-06-01,Actual,ACTUAL,VN_SOUTH,CUS,SME,11819.35,5588.37,995.17,3668.0,22070.89,168.48,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_CUS_SKA,202406_ACTUAL_VN_SOUTH_CUS_SKA,2024-06-01,Actual,ACTUAL,VN_SOUTH,CUS,SKA,22406.4,7508.14,1886.59,7168.0,38969.12,152.22,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_TRK_ENT,202406_ACTUAL_VN_SOUTH_TRK_ENT,2024-06-01,Actual,ACTUAL,VN_SOUTH,TRK,ENT,51504.21,14775.49,3815.25,888.19,70983.13,277.28,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_TRK_MM,202406_ACTUAL_VN_SOUTH_TRK_MM,2024-06-01,Actual,ACTUAL,VN_SOUTH,TRK,MM,45124.31,10662.3,3342.65,2157.03,61286.29,269.98,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_TRK_SME,202406_ACTUAL_VN_SOUTH_TRK_SME,2024-06-01,Actual,ACTUAL,VN_SOUTH,TRK,SME,34025.83,4187.02,2520.51,1370.61,42103.97,253.64,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_SOUTH_TRK_SKA,202406_ACTUAL_VN_SOUTH_TRK_SKA,2024-06-01,Actual,ACTUAL,VN_SOUTH,TRK,SKA,57362.83,11246.87,4249.24,2547.84,75406.78,258.24,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_AIR_ENT,202406_ACTUAL_VN_CENTRAL_AIR_ENT,2024-06-01,Actual,ACTUAL,VN_CENTRAL,AIR,ENT,92279.82,2965.22,6043.21,481.51,101769.75,1241.09,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_AIR_MM,202406_ACTUAL_VN_CENTRAL_AIR_MM,2024-06-01,Actual,ACTUAL,VN_CENTRAL,AIR,MM,71255.16,3794.07,4666.35,416.57,80132.16,1252.06,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_AIR_SME,202406_ACTUAL_VN_CENTRAL_AIR_SME,2024-06-01,Actual,ACTUAL,VN_CENTRAL,AIR,SME,53834.05,1457.63,3525.48,421.69,59238.85,1234.14,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_AIR_SKA,202406_ACTUAL_VN_CENTRAL_AIR_SKA,2024-06-01,Actual,ACTUAL,VN_CENTRAL,AIR,SKA,96545.06,5611.6,6322.53,353.33,108832.52,1236.73,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_FCL_ENT,202406_ACTUAL_VN_CENTRAL_FCL_ENT,2024-06-01,Actual,ACTUAL,VN_CENTRAL,FCL,ENT,87455.62,8400.98,4236.62,489.29,100582.52,852.39,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_FCL_MM,202406_ACTUAL_VN_CENTRAL_FCL_MM,2024-06-01,Actual,ACTUAL,VN_CENTRAL,FCL,MM,77224.57,5250.82,3741.0,629.31,86845.69,859.86,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_FCL_SME,202406_ACTUAL_VN_CENTRAL_FCL_SME,2024-06-01,Actual,ACTUAL,VN_CENTRAL,FCL,SME,61863.79,4372.41,2996.87,754.73,69987.81,897.28,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_FCL_SKA,202406_ACTUAL_VN_CENTRAL_FCL_SKA,2024-06-01,Actual,ACTUAL,VN_CENTRAL,FCL,SKA,99354.75,8993.79,4813.05,752.93,113914.52,850.11,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_LCL_ENT,202406_ACTUAL_VN_CENTRAL_LCL_ENT,2024-06-01,Actual,ACTUAL,VN_CENTRAL,LCL,ENT,39173.76,7526.49,2067.64,452.77,49220.66,473.28,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_LCL_MM,202406_ACTUAL_VN_CENTRAL_LCL_MM,2024-06-01,Actual,ACTUAL,VN_CENTRAL,LCL,MM,33122.61,5106.05,1748.25,793.43,40770.34,474.07,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_LCL_SME,202406_ACTUAL_VN_CENTRAL_LCL_SME,2024-06-01,Actual,ACTUAL,VN_CENTRAL,LCL,SME,25047.27,2896.21,1322.03,329.64,29595.15,469.76,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_LCL_SKA,202406_ACTUAL_VN_CENTRAL_LCL_SKA,2024-06-01,Actual,ACTUAL,VN_CENTRAL,LCL,SKA,48339.6,7997.05,2551.43,932.02,59820.09,453.18,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_CLS_ENT,202406_ACTUAL_VN_CENTRAL_CLS_ENT,2024-06-01,Actual,ACTUAL,VN_CENTRAL,CLS,ENT,48431.63,3610.95,2952.95,540.18,55535.71,941.28,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_CLS_MM,202406_ACTUAL_VN_CENTRAL_CLS_MM,2024-06-01,Actual,ACTUAL,VN_CENTRAL,CLS,MM,45330.6,3154.63,2763.87,374.17,51623.27,974.02,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_CLS_SME,202406_ACTUAL_VN_CENTRAL_CLS_SME,2024-06-01,Actual,ACTUAL,VN_CENTRAL,CLS,SME,31602.7,1736.27,1926.86,401.33,35667.16,869.93,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_CLS_SKA,202406_ACTUAL_VN_CENTRAL_CLS_SKA,2024-06-01,Actual,ACTUAL,VN_CENTRAL,CLS,SKA,59625.19,2595.35,3635.44,398.87,66254.86,920.21,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_CUS_ENT,202406_ACTUAL_VN_CENTRAL_CUS_ENT,2024-06-01,Actual,ACTUAL,VN_CENTRAL,CUS,ENT,12757.41,8724.48,1074.16,4004.0,26560.05,185.73,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_CUS_MM,202406_ACTUAL_VN_CENTRAL_CUS_MM,2024-06-01,Actual,ACTUAL,VN_CENTRAL,CUS,MM,10965.37,6222.75,923.27,3248.0,21359.38,184.13,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_CUS_SME,202406_ACTUAL_VN_CENTRAL_CUS_SME,2024-06-01,Actual,ACTUAL,VN_CENTRAL,CUS,SME,8323.66,4187.73,700.84,2660.0,15872.23,167.08,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_CUS_SKA,202406_ACTUAL_VN_CENTRAL_CUS_SKA,2024-06-01,Actual,ACTUAL,VN_CENTRAL,CUS,SKA,14271.75,6602.98,1201.66,4564.0,26640.38,163.44,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_TRK_ENT,202406_ACTUAL_VN_CENTRAL_TRK_ENT,2024-06-01,Actual,ACTUAL,VN_CENTRAL,TRK,ENT,35585.91,4615.3,2636.08,1623.55,44460.84,244.29,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_TRK_MM,202406_ACTUAL_VN_CENTRAL_TRK_MM,2024-06-01,Actual,ACTUAL,VN_CENTRAL,TRK,MM,28985.98,9527.24,2147.18,713.95,41374.36,289.33,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_TRK_SME,202406_ACTUAL_VN_CENTRAL_TRK_SME,2024-06-01,Actual,ACTUAL,VN_CENTRAL,TRK,SME,23500.26,7488.51,1740.82,516.46,33246.05,299.51,0.018,20240601,2024-06
COST_202406_ACTUAL_VN_CENTRAL_TRK_SKA,202406_ACTUAL_VN_CENTRAL_TRK_SKA,2024-06-01,Actual,ACTUAL,VN_CENTRAL,TRK,SKA,37962.82,7066.83,2812.15,1455.6,49297.41,250.24,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_AIR_ENT,202406_ACTUAL_TH_AIR_ENT,2024-06-01,Actual,ACTUAL,TH,AIR,ENT,62487.86,1504.53,4092.2,529.25,68613.83,1124.82,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_AIR_MM,202406_ACTUAL_TH_AIR_MM,2024-06-01,Actual,ACTUAL,TH,AIR,MM,55663.03,3876.88,3645.25,374.01,63559.18,1177.02,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_AIR_SME,202406_ACTUAL_TH_AIR_SME,2024-06-01,Actual,ACTUAL,TH,AIR,SME,38655.74,2283.52,2531.48,373.92,43844.66,1153.81,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_AIR_SKA,202406_ACTUAL_TH_AIR_SKA,2024-06-01,Actual,ACTUAL,TH,AIR,SKA,75890.36,1706.11,4969.9,296.82,82863.19,1167.09,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_FCL_ENT,202406_ACTUAL_TH_FCL_ENT,2024-06-01,Actual,ACTUAL,TH,FCL,ENT,82568.5,2778.51,3999.87,961.7,90308.58,851.97,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_FCL_MM,202406_ACTUAL_TH_FCL_MM,2024-06-01,Actual,ACTUAL,TH,FCL,MM,63271.54,1949.95,3065.07,610.34,68896.89,810.55,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_FCL_SME,202406_ACTUAL_TH_FCL_SME,2024-06-01,Actual,ACTUAL,TH,FCL,SME,52438.1,3116.95,2540.26,266.71,58362.02,884.27,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_FCL_SKA,202406_ACTUAL_TH_FCL_SKA,2024-06-01,Actual,ACTUAL,TH,FCL,SKA,89928.62,3394.08,4356.42,581.42,98260.54,854.44,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_LCL_ENT,202406_ACTUAL_TH_LCL_ENT,2024-06-01,Actual,ACTUAL,TH,LCL,ENT,31585.85,1682.11,1667.14,275.91,35211.01,419.18,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_LCL_MM,202406_ACTUAL_TH_LCL_MM,2024-06-01,Actual,ACTUAL,TH,LCL,MM,27475.69,2367.21,1450.2,383.53,31676.64,428.06,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_LCL_SME,202406_ACTUAL_TH_LCL_SME,2024-06-01,Actual,ACTUAL,TH,LCL,SME,23036.79,2752.63,1215.91,345.31,27350.63,488.4,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_LCL_SKA,202406_ACTUAL_TH_LCL_SKA,2024-06-01,Actual,ACTUAL,TH,LCL,SKA,36225.75,4488.85,1912.04,812.94,43439.58,457.26,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_CLS_ENT,202406_ACTUAL_TH_CLS_ENT,2024-06-01,Actual,ACTUAL,TH,CLS,ENT,46116.58,2720.28,2811.8,381.83,52030.49,929.12,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_CLS_MM,202406_ACTUAL_TH_CLS_MM,2024-06-01,Actual,ACTUAL,TH,CLS,MM,34344.6,1575.34,2094.04,447.32,38461.29,818.33,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_CLS_SME,202406_ACTUAL_TH_CLS_SME,2024-06-01,Actual,ACTUAL,TH,CLS,SME,28310.89,636.6,1726.16,110.23,30783.88,932.84,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_CLS_SKA,202406_ACTUAL_TH_CLS_SKA,2024-06-01,Actual,ACTUAL,TH,CLS,SKA,49553.94,4108.69,3021.38,580.24,57264.24,923.62,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_CUS_ENT,202406_ACTUAL_TH_CUS_ENT,2024-06-01,Actual,ACTUAL,TH,CUS,ENT,10553.44,4379.33,888.59,3248.0,19069.36,164.39,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_CUS_MM,202406_ACTUAL_TH_CUS_MM,2024-06-01,Actual,ACTUAL,TH,CUS,MM,8996.26,2626.35,757.47,2688.0,15068.08,156.96,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_CUS_SME,202406_ACTUAL_TH_CUS_SME,2024-06-01,Actual,ACTUAL,TH,CUS,SME,7769.86,3917.76,654.21,2296.0,14637.84,178.51,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_CUS_SKA,202406_ACTUAL_TH_CUS_SKA,2024-06-01,Actual,ACTUAL,TH,CUS,SKA,10763.13,5918.55,906.24,3388.0,20975.92,173.35,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_TRK_ENT,202406_ACTUAL_TH_TRK_ENT,2024-06-01,Actual,ACTUAL,TH,TRK,ENT,29097.64,3522.84,2155.45,960.42,35736.36,249.9,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_TRK_MM,202406_ACTUAL_TH_TRK_MM,2024-06-01,Actual,ACTUAL,TH,TRK,MM,22411.29,5993.44,1660.15,1057.45,31122.32,280.38,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_TRK_SME,202406_ACTUAL_TH_TRK_SME,2024-06-01,Actual,ACTUAL,TH,TRK,SME,17533.81,2156.04,1298.84,838.03,21826.72,259.84,0.018,20240601,2024-06
COST_202406_ACTUAL_TH_TRK_SKA,202406_ACTUAL_TH_TRK_SKA,2024-06-01,Actual,ACTUAL,TH,TRK,SKA,33431.32,3661.05,2476.47,1282.28,40851.13,255.32,0.018,20240601,2024-06
COST_202406_ACTUAL_CN_AIR_ENT,202406_ACTUAL_CN_AIR_ENT,2024-06-01,Actual,ACTUAL,CN,AIR,ENT,90391.44,2153.09,5919.54,279.52,98743.61,1189.68,0.018,20240601,2024-06
COST_202406_ACTUAL_CN_AIR_MM,202406_ACTUAL_CN_AIR_MM,2024-06-01,Actual,ACTUAL,CN,AIR,MM,76814.15,1313.11,5030.4,482.38,83640.04,1212.17,0.018,20240601,2024-06
COST_202406_ACTUAL_CN_AIR_SME,202406_ACTUAL_CN_AIR_SME,2024-06-01,Actual,ACTUAL,CN,AIR,SME,53208.25,2009.79,3484.5,361.0,59063.53,1181.27,0.018,20240601,2024-06
COST_202406_ACTUAL_CN_AIR_SKA,202406_ACTUAL_CN_AIR_SKA,2024-06-01,Actual,ACTUAL,CN,AIR,SKA,97162.25,5788.77,6362.95,916.77,110230.74,1113.44,0.018,20240601,2024-06
COST_202406_ACTUAL_CN_FCL_ENT,202406_ACTUAL_CN_FCL_ENT,2024-06-01,Actual,ACTUAL,CN,FCL,ENT,108600.42,8404.97,5260.94,757.77,123024.1,825.67,0.018,20240601,2024-06
COST_202406_ACTUAL_CN_FCL_MM,202406_ACTUAL_CN_FCL_MM,2024-06-01,Actual,ACTUAL,CN,FCL,MM,85324.06,2450.66,4133.36,730.69,92638.77,849.9,0.018,20240601,2024-06
COST_202406_ACTUAL_CN_FCL_SME,202406_ACTUAL_CN_FCL_SME,2024-06-01,Actual,ACTUAL,CN,FCL,SME,72719.56,3757.37,3522.76,529.71,80529.4,856.7,0.018,20240601,2024-06
