snapshot_month,prior_dpd_bucket,dpd_bucket,loan_count,balance,roll_rate
2024-08-01,90+ DPD,90+ DPD,53,10109.98,0.1992
2024-08-01,90+ DPD,Charge-off,43,0.0,0.1617
2024-08-01,90+ DPD,Current,25,5038.83,0.094
2024-08-01,Charge-off,1-7 DPD,13,1246.16,0.0524
2024-08-01,Charge-off,15-29 DPD,14,1387.2500000000002,0.0565
2024-08-01,Charge-off,30-59 DPD,12,638.6,0.0484
2024-08-01,Charge-off,60-89 DPD,5,236.78,0.0202
2024-08-01,Charge-off,8-14 DPD,4,223.60999999999999,0.0161
2024-08-01,Charge-off,90+ DPD,4,1351.96,0.0161
2024-08-01,Charge-off,Charge-off,187,0.0,0.754
2024-08-01,Charge-off,Current,9,3420.75,0.0363
2024-08-01,Current,1-7 DPD,437,140105.97,0.2436
2024-08-01,Current,15-29 DPD,296,94803.81,0.165
2024-08-01,Current,30-59 DPD,207,72192.09,0.1154
2024-08-01,Current,60-89 DPD,177,64266.21,0.0987
2024-08-01,Current,8-14 DPD,251,99817.25,0.1399
2024-08-01,Current,90+ DPD,68,24385.58,0.0379
2024-08-01,Current,Charge-off,13,0.0,0.0072
2024-08-01,Current,Current,345,131170.03,0.1923
2024-09-01,1-7 DPD,1-7 DPD,459,75347.34,0.271
2024-09-01,1-7 DPD,15-29 DPD,289,44367.45,0.1706
2024-09-01,1-7 DPD,30-59 DPD,265,33803.38,0.1564
2024-09-01,1-7 DPD,60-89 DPD,162,32443.71,0.0956
2024-09-01,1-7 DPD,8-14 DPD,313,41591.56,0.1848
2024-09-01,1-7 DPD,90+ DPD,50,9662.03,0.0295
2024-09-01,1-7 DPD,Charge-off,6,0.0,0.0035
2024-09-01,1-7 DPD,Current,150,30595.78,0.0885
2024-09-01,15-29 DPD,1-7 DPD,298,51853.909999999996,0.2764
2024-09-01,15-29 DPD,15-29 DPD,182,25949.64,0.1688
2024-09-01,15-29 DPD,30-59 DPD,163,25100.21,0.1512
2024-09-01,15-29 DPD,60-89 DPD,106,13994.06,0.0983
2024-09-01,15-29 DPD,8-14 DPD,192,24506.65,0.1781
2024-09-01,15-29 DPD,90+ DPD,35,4574.35,0.0325
2024-09-01,15-29 DPD,Charge-off,8,0.0,0.0074
2024-09-01,15-29 DPD,Current,94,22748.87,0.0872
2024-09-01,30-59 DPD,1-7 DPD,233,35581.4,0.2445
2024-09-01,30-59 DPD,15-29 DPD,152,23634.12,0.1595
2024-09-01,30-59 DPD,30-59 DPD,156,22726.65,0.1637
2024-09-01,30-59 DPD,60-89 DPD,124,18465.43,0.1301
2024-09-01,30-59 DPD,8-14 DPD,164,28608.72,0.1721
2024-09-01,30-59 DPD,90+ DPD,30,7675.58,0.0315
2024-09-01,30-59 DPD,Charge-off,4,0.0,0.0042
2024-09-01,30-59 DPD,Current,90,21823.69,0.0944
2024-09-01,60-89 DPD,1-7 DPD,102,16319.56,0.1555
2024-09-01,60-89 DPD,15-29 DPD,70,11701.25,0.1067
2024-09-01,60-89 DPD,30-59 DPD,60,12059.44,0.0915
2024-09-01,60-89 DPD,60-89 DPD,35,3192.59,0.0534
2024-09-01,60-89 DPD,8-14 DPD,97,16503.02,0.1479
2024-09-01,60-89 DPD,90+ DPD,164,25819.02,0.25
2024-09-01,60-89 DPD,Charge-off,93,0.0,0.1418
2024-09-01,60-89 DPD,Current,35,5915.75,0.0534
2024-09-01,8-14 DPD,1-7 DPD,292,45919.58,0.2612
2024-09-01,8-14 DPD,15-29 DPD,181,26377.940000000002,0.1619
2024-09-01,8-14 DPD,30-59 DPD,167,24292.39,0.1494
2024-09-01,8-14 DPD,60-89 DPD,124,18464.03,0.1109
2024-09-01,8-14 DPD,8-14 DPD,207,38430.25,0.1852
2024-09-01,8-14 DPD,90+ DPD,37,9223.8,0.0331
2024-09-01,8-14 DPD,Charge-off,6,0.0,0.0054
2024-09-01,8-14 DPD,Current,104,22828.67,0.093
2024-09-01,90+ DPD,1-7 DPD,47,8880.82,0.146
2024-09-01,90+ DPD,15-29 DPD,35,4518.46,0.1087
2024-09-01,90+ DPD,30-59 DPD,28,4923.15,0.087
2024-09-01,90+ DPD,60-89 DPD,17,1927.73,0.0528
2024-09-01,90+ DPD,8-14 DPD,43,10187.03,0.1335
2024-09-01,90+ DPD,90+ DPD,81,9972.06,0.2516
2024-09-01,90+ DPD,Charge-off,54,0.0,0.1677
2024-09-01,90+ DPD,Current,17,3120.74,0.0528
2024-09-01,Charge-off,1-7 DPD,18,3327.31,0.0606
2024-09-01,Charge-off,15-29 DPD,12,624.6,0.0404
2024-09-01,Charge-off,30-59 DPD,11,907.1500000000001,0.037
2024-09-01,Charge-off,60-89 DPD,6,3137.8399999999997,0.0202
2024-09-01,Charge-off,8-14 DPD,19,2135.93,0.064
2024-09-01,Charge-off,90+ DPD,4,55.54,0.0135
2024-09-01,Charge-off,Charge-off,216,0.0,0.7273
2024-09-01,Charge-off,Current,11,611.82,0.037
2024-09-01,Current,1-7 DPD,429,141837.24,0.2283
2024-09-01,Current,15-29 DPD,281,100116.7,0.1495
2024-09-01,Current,30-59 DPD,238,79275.33,0.1267
2024-09-01,Current,60-89 DPD,148,51519.84,0.0788
2024-09-01,Current,8-14 DPD,316,122401.98,0.1682
2024-09-01,Current,90+ DPD,62,19700.38,0.033
2024-09-01,Current,Charge-off,24,0.0,0.0128
2024-09-01,Current,Current,381,126799.55,0.2028
2024-10-01,1-7 DPD,1-7 DPD,434,67752.82,0.2589
2024-10-01,1-7 DPD,15-29 DPD,277,39010.73,0.1653
2024-10-01,1-7 DPD,30-59 DPD,235,40122.34,0.1402
2024-10-01,1-7 DPD,60-89 DPD,151,24572.86,0.0901
2024-10-01,1-7 DPD,8-14 DPD,305,50360.57,0.182
2024-10-01,1-7 DPD,90+ DPD,87,16968.510000000002,0.0519
2024-10-01,1-7 DPD,Charge-off,6,0.0,0.0036
2024-10-01,1-7 DPD,Current,181,35372.15,0.108
2024-10-01,15-29 DPD,1-7 DPD,282,46157.96,0.2628
2024-10-01,15-29 DPD,15-29 DPD,181,26514.04,0.1687
2024-10-01,15-29 DPD,30-59 DPD,153,21994.61,0.1426
2024-10-01,15-29 DPD,60-89 DPD,111,19388.66,0.1034
2024-10-01,15-29 DPD,8-14 DPD,210,29083.29,0.1957
2024-10-01,15-29 DPD,90+ DPD,25,3985.88,0.0233
2024-10-01,15-29 DPD,Charge-off,8,0.0,0.0075
2024-10-01,15-29 DPD,Current,103,18574.83,0.096
2024-10-01,30-59 DPD,1-7 DPD,291,37794.62,0.3083
2024-10-01,30-59 DPD,15-29 DPD,148,27575.57,0.1568
2024-10-01,30-59 DPD,30-59 DPD,139,17000.84,0.1472
2024-10-01,30-59 DPD,60-89 DPD,73,10112.92,0.0773
2024-10-01,30-59 DPD,8-14 DPD,160,21008.3,0.1695
2024-10-01,30-59 DPD,90+ DPD,41,4989.54,0.0434
2024-10-01,30-59 DPD,Charge-off,3,0.0,0.0032
2024-10-01,30-59 DPD,Current,89,22676.85,0.0943
2024-10-01,60-89 DPD,1-7 DPD,100,14108.58,0.1527
2024-10-01,60-89 DPD,15-29 DPD,71,9586.22,0.1084
2024-10-01,60-89 DPD,30-59 DPD,62,9536.15,0.0947
2024-10-01,60-89 DPD,60-89 DPD,43,7694.84,0.0656
2024-10-01,60-89 DPD,8-14 DPD,86,12205.11,0.1313
2024-10-01,60-89 DPD,90+ DPD,149,24286.48,0.2275
2024-10-01,60-89 DPD,Charge-off,105,0.0,0.1603
2024-10-01,60-89 DPD,Current,39,7387.27,0.0595
2024-10-01,8-14 DPD,1-7 DPD,302,48067.71,0.2544
2024-10-01,8-14 DPD,15-29 DPD,198,36156.65,0.1668
2024-10-01,8-14 DPD,30-59 DPD,148,25813.53,0.1247
2024-10-01,8-14 DPD,60-89 DPD,116,22375.91,0.0977
2024-10-01,8-14 DPD,8-14 DPD,250,43214.770000000004,0.2106
2024-10-01,8-14 DPD,90+ DPD,43,8607.34,0.0362
2024-10-01,8-14 DPD,Charge-off,9,0.0,0.0076
2024-10-01,8-14 DPD,Current,121,22270.59,0.1019
2024-10-01,90+ DPD,1-7 DPD,62,9888.5,0.1439
2024-10-01,90+ DPD,15-29 DPD,57,11550.53,0.1323
2024-10-01,90+ DPD,30-59 DPD,42,5579.51,0.0974
2024-10-01,90+ DPD,60-89 DPD,29,4883.03,0.0673
2024-10-01,90+ DPD,8-14 DPD,43,2908.0,0.0998
2024-10-01,90+ DPD,90+ DPD,95,12986.12,0.2204
2024-10-01,90+ DPD,Charge-off,63,0.0,0.1462
2024-10-01,90+ DPD,Current,40,5426.81,0.0928
2024-10-01,Charge-off,1-7 DPD,17,5511.6,0.0501
2024-10-01,Charge-off,15-29 DPD,21,5240.360000000001,0.0619
2024-10-01,Charge-off,30-59 DPD,18,3204.71,0.0531
2024-10-01,Charge-off,60-89 DPD,11,2790.46,0.0324
2024-10-01,Charge-off,8-14 DPD,10,2192.43,0.0295
2024-10-01,Charge-off,90+ DPD,6,1994.88,0.0177
2024-10-01,Charge-off,Charge-off,249,0.0,0.7345
2024-10-01,Charge-off,Current,7,657.23,0.0206
2024-10-01,Current,1-7 DPD,439,146529.88,0.2206
2024-10-01,Current,15-29 DPD,269,88045.67,0.1352
2024-10-01,Current,30-59 DPD,236,91835.43,0.1186
2024-10-01,Current,60-89 DPD,185,67144.53,0.093
2024-10-01,Current,8-14 DPD,311,105026.41,0.1563
2024-10-01,Current,90+ DPD,64,19628.48,0.0322
2024-10-01,Current,Charge-off,11,0.0,0.0055
2024-10-01,Current,Current,475,176034.21,0.2387
2024-11-01,1-7 DPD,1-7 DPD,403,54455.65,0.2462
2024-11-01,1-7 DPD,15-29 DPD,268,34560.66,0.1637
2024-11-01,1-7 DPD,30-59 DPD,259,41490.18,0.1582
2024-11-01,1-7 DPD,60-89 DPD,139,32553.64,0.0849
2024-11-01,1-7 DPD,8-14 DPD,312,57270.14,0.1906
2024-11-01,1-7 DPD,90+ DPD,43,7421.75,0.0263
2024-11-01,1-7 DPD,Charge-off,8,0.0,0.0049
2024-11-01,1-7 DPD,Current,205,35662.909999999996,0.1252
2024-11-01,15-29 DPD,1-7 DPD,296,45253.84,0.2806
2024-11-01,15-29 DPD,15-29 DPD,185,30174.45,0.1754
2024-11-01,15-29 DPD,30-59 DPD,151,25516.420000000002,0.1431
2024-11-01,15-29 DPD,60-89 DPD,79,15226.35,0.0749
2024-11-01,15-29 DPD,8-14 DPD,183,26647.33,0.1735
2024-11-01,15-29 DPD,90+ DPD,32,4175.93,0.0303
2024-11-01,15-29 DPD,Charge-off,1,0.0,0.0009
2024-11-01,15-29 DPD,Current,128,28875.34,0.1213
2024-11-01,30-59 DPD,1-7 DPD,232,41135.91,0.2575
2024-11-01,30-59 DPD,15-29 DPD,150,26201.24,0.1665
2024-11-01,30-59 DPD,30-59 DPD,124,15826.87,0.1376
2024-11-01,30-59 DPD,60-89 DPD,78,13840.550000000001,0.0866
2024-11-01,30-59 DPD,8-14 DPD,183,30278.51,0.2031
2024-11-01,30-59 DPD,90+ DPD,29,5228.5,0.0322
2024-11-01,30-59 DPD,Charge-off,2,0.0,0.0022
2024-11-01,30-59 DPD,Current,103,21253.02,0.1143
2024-11-01,60-89 DPD,1-7 DPD,105,21369.37,0.1636
2024-11-01,60-89 DPD,15-29 DPD,64,8764.05,0.0997
2024-11-01,60-89 DPD,30-59 DPD,58,12250.26,0.0903
2024-11-01,60-89 DPD,60-89 DPD,42,6601.900000000001,0.0654
2024-11-01,60-89 DPD,8-14 DPD,71,11124.78,0.1106
2024-11-01,60-89 DPD,90+ DPD,151,27550.36,0.2352
2024-11-01,60-89 DPD,Charge-off,103,0.0,0.1604
2024-11-01,60-89 DPD,Current,48,9080.55,0.0748
2024-11-01,8-14 DPD,1-7 DPD,290,42134.1,0.2464
2024-11-01,8-14 DPD,15-29 DPD,189,30107.62,0.1606
2024-11-01,8-14 DPD,30-59 DPD,170,30318.96,0.1444
2024-11-01,8-14 DPD,60-89 DPD,102,14205.84,0.0867
2024-11-01,8-14 DPD,8-14 DPD,235,37709.44,0.1997
2024-11-01,8-14 DPD,90+ DPD,28,4212.96,0.0238
2024-11-01,8-14 DPD,Charge-off,2,0.0,0.0017
2024-11-01,8-14 DPD,Current,161,30916.95,0.1368
2024-11-01,90+ DPD,1-7 DPD,80,11357.51,0.1735
2024-11-01,90+ DPD,15-29 DPD,41,7200.75,0.0889
2024-11-01,90+ DPD,30-59 DPD,41,3257.1600000000003,0.0889
2024-11-01,90+ DPD,60-89 DPD,30,2909.92,0.0651
2024-11-01,90+ DPD,8-14 DPD,49,4978.0199999999995,0.1063
2024-11-01,90+ DPD,90+ DPD,110,17251.65,0.2386
2024-11-01,90+ DPD,Charge-off,68,0.0,0.1475
2024-11-01,90+ DPD,Current,42,9971.130000000001,0.0911
2024-11-01,Charge-off,1-7 DPD,30,2322.26,0.0787
2024-11-01,Charge-off,15-29 DPD,16,976.39,0.042
2024-11-01,Charge-off,30-59 DPD,21,2247.69,0.0551
2024-11-01,Charge-off,60-89 DPD,7,510.13,0.0184
2024-11-01,Charge-off,8-14 DPD,16,3664.9900000000002,0.042
2024-11-01,Charge-off,90+ DPD,2,11.59,0.0052
2024-11-01,Charge-off,Charge-off,280,0.0,0.7349
2024-11-01,Charge-off,Current,9,2545.8700000000003,0.0236
2024-11-01,Current,1-7 DPD,401,135732.26,0.1907
2024-11-01,Current,15-29 DPD,291,98375.49,0.1384
2024-11-01,Current,30-59 DPD,265,80429.59,0.126
2024-11-01,Current,60-89 DPD,185,63235.6,0.088
2024-11-01,Current,8-14 DPD,313,96778.0,0.1488
2024-11-01,Current,90+ DPD,81,20822.26,0.0385
2024-11-01,Current,Charge-off,28,0.0,0.0133
2024-11-01,Current,Current,539,189073.96,0.2563
2024-12-01,1-7 DPD,1-7 DPD,395,63283.03,0.2495
2024-12-01,1-7 DPD,15-29 DPD,268,38631.89,0.1693
2024-12-01,1-7 DPD,30-59 DPD,231,33750.47,0.1459
2024-12-01,1-7 DPD,60-89 DPD,138,22260.96,0.0872
2024-12-01,1-7 DPD,8-14 DPD,283,44762.81,0.1788
2024-12-01,1-7 DPD,90+ DPD,61,8455.66,0.0385
2024-12-01,1-7 DPD,Charge-off,11,0.0,0.0069
2024-12-01,1-7 DPD,Current,196,35236.12,0.1238
2024-12-01,15-29 DPD,1-7 DPD,275,41166.16,0.2619
2024-12-01,15-29 DPD,15-29 DPD,164,26069.510000000002,0.1562
2024-12-01,15-29 DPD,30-59 DPD,155,20706.75,0.1476
2024-12-01,15-29 DPD,60-89 DPD,76,10302.24,0.0724
2024-12-01,15-29 DPD,8-14 DPD,221,38937.62,0.2105
2024-12-01,15-29 DPD,90+ DPD,19,2874.9500000000003,0.0181
2024-12-01,15-29 DPD,Charge-off,5,0.0,0.0048
2024-12-01,15-29 DPD,Current,135,30095.5,0.1286
2024-12-01,30-59 DPD,1-7 DPD,233,32143.32,0.2442
2024-12-01,30-59 DPD,15-29 DPD,156,24859.93,0.1635
2024-12-01,30-59 DPD,30-59 DPD,127,15954.34,0.1331
2024-12-01,30-59 DPD,60-89 DPD,89,11966.380000000001,0.0933
2024-12-01,30-59 DPD,8-14 DPD,172,19577.57,0.1803
2024-12-01,30-59 DPD,90+ DPD,33,8546.74,0.0346
2024-12-01,30-59 DPD,Charge-off,9,0.0,0.0094
2024-12-01,30-59 DPD,Current,135,35041.44,0.1415
2024-12-01,60-89 DPD,1-7 DPD,96,12934.9,0.1649
2024-12-01,60-89 DPD,15-29 DPD,68,9313.15,0.1168
2024-12-01,60-89 DPD,30-59 DPD,71,16906.12,0.122
2024-12-01,60-89 DPD,60-89 DPD,28,4530.95,0.0481
2024-12-01,60-89 DPD,8-14 DPD,55,9081.36,0.0945
2024-12-01,60-89 DPD,90+ DPD,124,26349.83,0.2131
2024-12-01,60-89 DPD,Charge-off,93,0.0,0.1598
2024-12-01,60-89 DPD,Current,47,8376.300000000001,0.0808
2024-12-01,8-14 DPD,1-7 DPD,296,48022.94,0.2561
2024-12-01,8-14 DPD,15-29 DPD,194,25535.46,0.1678
2024-12-01,8-14 DPD,30-59 DPD,153,24901.489999999998,0.1324
2024-12-01,8-14 DPD,60-89 DPD,116,15640.28,0.1003
2024-12-01,8-14 DPD,8-14 DPD,222,41812.47,0.192
2024-12-01,8-14 DPD,90+ DPD,16,4082.3799999999997,0.0138
2024-12-01,8-14 DPD,Charge-off,8,0.0,0.0069
2024-12-01,8-14 DPD,Current,151,27988.18,0.1306
2024-12-01,90+ DPD,1-7 DPD,81,12337.26,0.1915
2024-12-01,90+ DPD,15-29 DPD,29,4331.1900000000005,0.0686
2024-12-01,90+ DPD,30-59 DPD,42,5552.75,0.0993
2024-12-01,90+ DPD,60-89 DPD,34,4509.48,0.0804
2024-12-01,90+ DPD,8-14 DPD,43,4301.62,0.1017
2024-12-01,90+ DPD,90+ DPD,93,12801.81,0.2199
2024-12-01,90+ DPD,Charge-off,63,0.0,0.1489
2024-12-01,90+ DPD,Current,38,6799.62,0.0898
2024-12-01,Charge-off,1-7 DPD,36,6806.35,0.0891
2024-12-01,Charge-off,15-29 DPD,15,1839.12,0.0371
2024-12-01,Charge-off,30-59 DPD,12,872.5600000000001,0.0297
2024-12-01,Charge-off,60-89 DPD,4,439.02,0.0099
2024-12-01,Charge-off,8-14 DPD,16,1859.6200000000001,0.0396
2024-12-01,Charge-off,90+ DPD,1,5.17,0.0025
2024-12-01,Charge-off,Charge-off,309,0.0,0.7649
2024-12-01,Charge-off,Current,11,1130.58,0.0272
2024-12-01,Current,1-7 DPD,498,161905.19,0.2144
2024-12-01,Current,15-29 DPD,305,98031.98,0.1313
2024-12-01,Current,30-59 DPD,253,84760.77,0.1089
2024-12-01,Current,60-89 DPD,200,58310.22,0.0861
2024-12-01,Current,8-14 DPD,345,97081.92,0.1485
2024-12-01,Current,90+ DPD,69,20716.52,0.0297
2024-12-01,Current,Charge-off,15,0.0,0.0065
2024-12-01,Current,Current,638,207407.47,0.2746
2025-01-01,1-7 DPD,1-7 DPD,544,77567.1,0.3305
2025-01-01,1-7 DPD,15-29 DPD,349,54625.23,0.212
2025-01-01,1-7 DPD,30-59 DPD,229,46257.66,0.1391
2025-01-01,1-7 DPD,60-89 DPD,69,14908.5,0.0419
2025-01-01,1-7 DPD,8-14 DPD,356,56393.84,0.2163
2025-01-01,1-7 DPD,90+ DPD,20,4471.03,0.0122
2025-01-01,1-7 DPD,Charge-off,2,0.0,0.0012
2025-01-01,1-7 DPD,Current,77,15152.84,0.0468
2025-01-01,15-29 DPD,1-7 DPD,345,51319.31,0.3386
2025-01-01,15-29 DPD,15-29 DPD,205,26802.26,0.2012
2025-01-01,15-29 DPD,30-59 DPD,119,20325.899999999998,0.1168
2025-01-01,15-29 DPD,60-89 DPD,55,12496.6,0.054
2025-01-01,15-29 DPD,8-14 DPD,248,43898.01,0.2434
2025-01-01,15-29 DPD,90+ DPD,6,700.8,0.0059
2025-01-01,15-29 DPD,Charge-off,1,0.0,0.001
2025-01-01,15-29 DPD,Current,40,7654.89,0.0393
2025-01-01,30-59 DPD,1-7 DPD,301,48705.12,0.3341
2025-01-01,30-59 DPD,15-29 DPD,188,31745.26,0.2087
2025-01-01,30-59 DPD,30-59 DPD,115,15176.16,0.1276
2025-01-01,30-59 DPD,60-89 DPD,43,11919.78,0.0477
2025-01-01,30-59 DPD,8-14 DPD,205,24819.92,0.2275
2025-01-01,30-59 DPD,90+ DPD,7,731.97,0.0078
2025-01-01,30-59 DPD,Charge-off,1,0.0,0.0011
2025-01-01,30-59 DPD,Current,41,10006.22,0.0455
2025-01-01,60-89 DPD,1-7 DPD,146,22267.97,0.2401
2025-01-01,60-89 DPD,15-29 DPD,75,10861.75,0.1234
2025-01-01,60-89 DPD,30-59 DPD,61,8680.64,0.1003
2025-01-01,60-89 DPD,60-89 DPD,19,1624.09,0.0312
2025-01-01,60-89 DPD,8-14 DPD,101,13401.54,0.1661
2025-01-01,60-89 DPD,90+ DPD,113,19149.26,0.1859
2025-01-01,60-89 DPD,Charge-off,80,0.0,0.1316
2025-01-01,60-89 DPD,Current,13,2544.49,0.0214
2025-01-01,8-14 DPD,1-7 DPD,367,54522.6,0.3134
2025-01-01,8-14 DPD,15-29 DPD,239,31869.04,0.2041
2025-01-01,8-14 DPD,30-59 DPD,159,23018.079999999998,0.1358
2025-01-01,8-14 DPD,60-89 DPD,47,7320.46,0.0401
2025-01-01,8-14 DPD,8-14 DPD,283,44448.37,0.2417
2025-01-01,8-14 DPD,90+ DPD,11,1727.56,0.0094
2025-01-01,8-14 DPD,Charge-off,1,0.0,0.0009
2025-01-01,8-14 DPD,Current,64,18215.43,0.0547
2025-01-01,90+ DPD,1-7 DPD,88,14386.65,0.2298
2025-01-01,90+ DPD,15-29 DPD,45,4259.42,0.1175
2025-01-01,90+ DPD,30-59 DPD,40,5104.5,0.1044
2025-01-01,90+ DPD,60-89 DPD,10,1257.94,0.0261
2025-01-01,90+ DPD,8-14 DPD,72,8133.150000000001,0.188
2025-01-01,90+ DPD,90+ DPD,67,16174.0,0.1749
2025-01-01,90+ DPD,Charge-off,47,0.0,0.1227
2025-01-01,90+ DPD,Current,14,4274.280000000001,0.0366
2025-01-01,Charge-off,1-7 DPD,28,5087.780000000001,0.0648
2025-01-01,Charge-off,15-29 DPD,23,1625.3400000000001,0.0532
2025-01-01,Charge-off,30-59 DPD,12,797.47,0.0278
2025-01-01,Charge-off,60-89 DPD,3,280.73,0.0069
2025-01-01,Charge-off,8-14 DPD,14,3222.42,0.0324
2025-01-01,Charge-off,Charge-off,350,0.0,0.8102
2025-01-01,Charge-off,Current,2,214.09,0.0046
2025-01-01,Current,1-7 DPD,630,187211.83,0.2602
2025-01-01,Current,15-29 DPD,403,106037.9,0.1665
2025-01-01,Current,30-59 DPD,305,92228.38,0.126
2025-01-01,Current,60-89 DPD,193,68734.56,0.0797
2025-01-01,Current,8-14 DPD,419,126011.4,0.1731
2025-01-01,Current,90+ DPD,78,24372.31,0.0322
2025-01-01,Current,Charge-off,23,0.0,0.0095
2025-01-01,Current,Current,370,137649.22,0.1528
2025-02-01,1-7 DPD,1-7 DPD,656,83460.94,0.3118
2025-02-01,1-7 DPD,15-29 DPD,433,62673.66,0.2058
2025-02-01,1-7 DPD,30-59 DPD,272,39695.71,0.1293
2025-02-01,1-7 DPD,60-89 DPD,96,20414.329999999998,0.0456
2025-02-01,1-7 DPD,8-14 DPD,532,97629.72,0.2529
2025-02-01,1-7 DPD,90+ DPD,13,1731.21,0.0062
2025-02-01,1-7 DPD,Charge-off,1,0.0,0.0005
2025-02-01,1-7 DPD,Current,101,18725.25,0.048
2025-02-01,15-29 DPD,1-7 DPD,429,58413.17,0.3282
2025-02-01,15-29 DPD,15-29 DPD,251,32329.65,0.192
2025-02-01,15-29 DPD,30-59 DPD,178,25367.649999999998,0.1362
2025-02-01,15-29 DPD,60-89 DPD,58,13834.51,0.0444
2025-02-01,15-29 DPD,8-14 DPD,313,46441.26,0.2395
2025-02-01,15-29 DPD,90+ DPD,12,2119.95,0.0092
2025-02-01,15-29 DPD,Charge-off,4,0.0,0.0031
2025-02-01,15-29 DPD,Current,62,11491.78,0.0474
2025-02-01,30-59 DPD,1-7 DPD,246,29164.989999999998,0.2637
2025-02-01,30-59 DPD,15-29 DPD,190,36094.14,0.2036
2025-02-01,30-59 DPD,30-59 DPD,155,23169.79,0.1661
2025-02-01,30-59 DPD,60-89 DPD,51,11961.64,0.0547
2025-02-01,30-59 DPD,8-14 DPD,229,33151.28,0.2454
2025-02-01,30-59 DPD,90+ DPD,8,2570.26,0.0086
2025-02-01,30-59 DPD,Charge-off,2,0.0,0.0021
2025-02-01,30-59 DPD,Current,52,11750.17,0.0557
2025-02-01,60-89 DPD,1-7 DPD,88,16059.050000000001,0.209
2025-02-01,60-89 DPD,15-29 DPD,50,9746.61,0.1188
2025-02-01,60-89 DPD,30-59 DPD,40,7381.19,0.095
2025-02-01,60-89 DPD,60-89 DPD,30,6854.48,0.0713
2025-02-01,60-89 DPD,8-14 DPD,54,8945.48,0.1283
2025-02-01,60-89 DPD,90+ DPD,82,13671.57,0.1948
2025-02-01,60-89 DPD,Charge-off,51,0.0,0.1211
2025-02-01,60-89 DPD,Current,26,9121.14,0.0618
2025-02-01,8-14 DPD,1-7 DPD,462,67543.58,0.3208
2025-02-01,8-14 DPD,15-29 DPD,319,52874.6,0.2215
2025-02-01,8-14 DPD,30-59 DPD,180,29121.96,0.125
2025-02-01,8-14 DPD,60-89 DPD,62,11893.86,0.0431
2025-02-01,8-14 DPD,8-14 DPD,328,54354.57,0.2278
2025-02-01,8-14 DPD,90+ DPD,14,2707.45,0.0097
2025-02-01,8-14 DPD,Charge-off,6,0.0,0.0042
2025-02-01,8-14 DPD,Current,69,11622.48,0.0479
2025-02-01,90+ DPD,1-7 DPD,55,8882.65,0.2022
2025-02-01,90+ DPD,15-29 DPD,29,2796.71,0.1066
2025-02-01,90+ DPD,30-59 DPD,32,5599.54,0.1176
2025-02-01,90+ DPD,60-89 DPD,9,2407.1800000000003,0.0331
2025-02-01,90+ DPD,8-14 DPD,35,7926.280000000001,0.1287
2025-02-01,90+ DPD,90+ DPD,66,12765.14,0.2426
2025-02-01,90+ DPD,Charge-off,28,0.0,0.1029
2025-02-01,90+ DPD,Current,18,2460.0,0.0662
2025-02-01,Charge-off,1-7 DPD,23,1562.81,0.0557
2025-02-01,Charge-off,15-29 DPD,11,413.37,0.0266
2025-02-01,Charge-off,30-59 DPD,16,1307.91,0.0387
2025-02-01,Charge-off,60-89 DPD,8,1030.2,0.0194
2025-02-01,Charge-off,8-14 DPD,12,1629.03,0.0291
2025-02-01,Charge-off,90+ DPD,2,14.53,0.0048
2025-02-01,Charge-off,Charge-off,339,0.0,0.8208
2025-02-01,Charge-off,Current,2,15.89,0.0048
2025-02-01,Current,1-7 DPD,399,157144.75,0.2446
2025-02-01,Current,15-29 DPD,229,78584.0,0.1404
2025-02-01,Current,30-59 DPD,217,79475.2,0.133
2025-02-01,Current,60-89 DPD,153,53649.98,0.0938
2025-02-01,Current,8-14 DPD,316,103890.53,0.1937
2025-02-01,Current,90+ DPD,60,24532.85,0.0368
2025-02-01,Current,Charge-off,7,0.0,0.0043
2025-02-01,Current,Current,250,101165.68,0.1533
2025-03-01,1-7 DPD,1-7 DPD,634,91656.83,0.3126
2025-03-01,1-7 DPD,15-29 DPD,413,61584.58,0.2036
2025-03-01,1-7 DPD,30-59 DPD,307,48206.88,0.1514
2025-03-01,1-7 DPD,60-89 DPD,90,20981.63,0.0444
2025-03-01,1-7 DPD,8-14 DPD,474,61080.14,0.2337
2025-03-01,1-7 DPD,90+ DPD,12,1387.88,0.0059
2025-03-01,1-7 DPD,Charge-off,4,0.0,0.002
2025-03-01,1-7 DPD,Current,94,15394.1,0.0464
2025-03-01,15-29 DPD,1-7 DPD,422,54685.23,0.3269
2025-03-01,15-29 DPD,15-29 DPD,267,38046.43,0.2068
2025-03-01,15-29 DPD,30-59 DPD,179,27682.08,0.1387
2025-03-01,15-29 DPD,60-89 DPD,59,10972.45,0.0457
2025-03-01,15-29 DPD,8-14 DPD,304,45340.64,0.2355
2025-03-01,15-29 DPD,90+ DPD,7,2064.8599999999997,0.0054
2025-03-01,15-29 DPD,Charge-off,1,0.0,0.0008
2025-03-01,15-29 DPD,Current,52,10876.449999999999,0.0403
2025-03-01,30-59 DPD,1-7 DPD,291,43188.12,0.3019
2025-03-01,30-59 DPD,15-29 DPD,194,32753.75,0.2012
2025-03-01,30-59 DPD,30-59 DPD,164,27432.42,0.1701
2025-03-01,30-59 DPD,60-89 DPD,37,5422.28,0.0384
