session_key,session_date,channel,device,region,sessions,visitors,add_to_cart,checkout_starts,session_month
9102,2025-03-14,Paid Search,Desktop,Middle East,13,8,1,0,2025-03
9103,2025-03-14,Paid Search,Tablet,North America,45,34,5,2,2025-03
9104,2025-03-14,Paid Search,Tablet,Europe,23,18,2,0,2025-03
9105,2025-03-14,Paid Search,Tablet,Southeast Asia,20,15,2,0,2025-03
9106,2025-03-14,Paid Search,Tablet,East Asia,12,8,1,0,2025-03
9107,2025-03-14,Paid Search,Tablet,Oceania,9,6,1,0,2025-03
9108,2025-03-14,Paid Search,Tablet,Middle East,5,3,0,0,2025-03
9109,2025-03-14,Direct,Mobile,North America,231,187,28,12,2025-03
9110,2025-03-14,Direct,Mobile,Europe,117,86,10,5,2025-03
9111,2025-03-14,Direct,Mobile,Southeast Asia,105,75,9,4,2025-03
9112,2025-03-14,Direct,Mobile,East Asia,79,58,7,2,2025-03
9113,2025-03-14,Direct,Mobile,Oceania,32,23,4,2,2025-03
9114,2025-03-14,Direct,Mobile,Middle East,27,21,2,0,2025-03
9115,2025-03-14,Direct,Desktop,North America,123,87,13,4,2025-03
9116,2025-03-14,Direct,Desktop,Europe,60,43,7,3,2025-03
9117,2025-03-14,Direct,Desktop,Southeast Asia,47,32,4,1,2025-03
9118,2025-03-14,Direct,Desktop,East Asia,28,21,3,1,2025-03
9119,2025-03-14,Direct,Desktop,Oceania,15,11,2,1,2025-03
9120,2025-03-14,Direct,Desktop,Middle East,11,7,1,0,2025-03
9121,2025-03-14,Direct,Tablet,North America,54,42,6,2,2025-03
9122,2025-03-14,Direct,Tablet,Europe,21,17,2,0,2025-03
9123,2025-03-14,Direct,Tablet,Southeast Asia,20,15,2,0,2025-03
9124,2025-03-14,Direct,Tablet,East Asia,13,9,1,0,2025-03
9125,2025-03-14,Direct,Tablet,Oceania,6,4,0,0,2025-03
9126,2025-03-14,Direct,Tablet,Middle East,4,3,0,0,2025-03
9127,2025-03-14,Email,Mobile,North America,186,143,22,10,2025-03
9128,2025-03-14,Email,Mobile,Europe,87,60,6,3,2025-03
9129,2025-03-14,Email,Mobile,Southeast Asia,70,52,9,3,2025-03
9130,2025-03-14,Email,Mobile,East Asia,56,43,7,3,2025-03
9131,2025-03-14,Email,Mobile,Oceania,28,19,3,1,2025-03
9132,2025-03-14,Email,Mobile,Middle East,19,12,2,0,2025-03
9133,2025-03-14,Email,Desktop,North America,91,62,9,4,2025-03
9134,2025-03-14,Email,Desktop,Europe,41,28,4,1,2025-03
9135,2025-03-14,Email,Desktop,Southeast Asia,43,31,3,1,2025-03
9136,2025-03-14,Email,Desktop,East Asia,20,15,2,1,2025-03
9137,2025-03-14,Email,Desktop,Oceania,14,9,1,0,2025-03
9138,2025-03-14,Email,Desktop,Middle East,8,5,0,0,2025-03
9139,2025-03-14,Email,Tablet,North America,33,26,4,2,2025-03
9140,2025-03-14,Email,Tablet,Europe,15,10,1,0,2025-03
9141,2025-03-14,Email,Tablet,Southeast Asia,12,9,1,0,2025-03
9142,2025-03-14,Email,Tablet,East Asia,9,7,1,0,2025-03
9143,2025-03-14,Email,Tablet,Oceania,4,3,0,0,2025-03
9144,2025-03-14,Email,Tablet,Middle East,3,2,0,0,2025-03
9145,2025-03-14,Social,Mobile,North America,210,147,28,12,2025-03
9146,2025-03-14,Social,Mobile,Europe,100,73,13,6,2025-03
9147,2025-03-14,Social,Mobile,Southeast Asia,99,72,7,4,2025-03
9148,2025-03-14,Social,Mobile,East Asia,54,40,6,2,2025-03
9149,2025-03-14,Social,Mobile,Oceania,30,21,2,0,2025-03
9150,2025-03-14,Social,Mobile,Middle East,21,16,2,0,2025-03
9151,2025-03-14,Social,Desktop,North America,96,65,9,4,2025-03
9152,2025-03-14,Social,Desktop,Europe,54,43,5,2,2025-03
9153,2025-03-14,Social,Desktop,Southeast Asia,47,38,6,2,2025-03
9154,2025-03-14,Social,Desktop,East Asia,28,19,2,0,2025-03
9155,2025-03-14,Social,Desktop,Oceania,14,10,1,0,2025-03
9156,2025-03-14,Social,Desktop,Middle East,9,7,0,0,2025-03
9157,2025-03-14,Social,Tablet,North America,40,28,3,1,2025-03
9158,2025-03-14,Social,Tablet,Europe,19,13,2,0,2025-03
9159,2025-03-14,Social,Tablet,Southeast Asia,17,13,2,1,2025-03
9160,2025-03-14,Social,Tablet,East Asia,11,8,1,0,2025-03
9161,2025-03-14,Social,Tablet,Oceania,6,4,0,0,2025-03
9162,2025-03-14,Social,Tablet,Middle East,3,2,0,0,2025-03
9163,2025-03-14,Affiliate,Mobile,North America,105,83,14,5,2025-03
9164,2025-03-14,Affiliate,Mobile,Europe,65,49,6,3,2025-03
9165,2025-03-14,Affiliate,Mobile,Southeast Asia,54,37,4,1,2025-03
9166,2025-03-14,Affiliate,Mobile,East Asia,27,21,3,1,2025-03
9167,2025-03-14,Affiliate,Mobile,Oceania,18,14,1,0,2025-03
9168,2025-03-14,Affiliate,Mobile,Middle East,11,7,1,0,2025-03
9169,2025-03-14,Affiliate,Desktop,North America,59,46,7,3,2025-03
9170,2025-03-14,Affiliate,Desktop,Europe,30,20,3,1,2025-03
9171,2025-03-14,Affiliate,Desktop,Southeast Asia,20,15,2,0,2025-03
9172,2025-03-14,Affiliate,Desktop,East Asia,12,9,1,0,2025-03
9173,2025-03-14,Affiliate,Desktop,Oceania,9,6,1,0,2025-03
9174,2025-03-14,Affiliate,Desktop,Middle East,5,4,0,0,2025-03
9175,2025-03-14,Affiliate,Tablet,North America,24,19,2,0,2025-03
9176,2025-03-14,Affiliate,Tablet,Europe,9,6,1,0,2025-03
9177,2025-03-14,Affiliate,Tablet,Southeast Asia,9,6,1,0,2025-03
9178,2025-03-14,Affiliate,Tablet,East Asia,5,3,0,0,2025-03
9179,2025-03-14,Affiliate,Tablet,Oceania,2,1,0,0,2025-03
9180,2025-03-14,Affiliate,Tablet,Middle East,2,1,0,0,2025-03
9181,2025-03-14,Display,Mobile,North America,67,47,5,2,2025-03
9182,2025-03-14,Display,Mobile,Europe,39,26,3,1,2025-03
9183,2025-03-14,Display,Mobile,Southeast Asia,27,22,2,1,2025-03
9184,2025-03-14,Display,Mobile,East Asia,19,14,2,0,2025-03
9185,2025-03-14,Display,Mobile,Oceania,11,7,0,0,2025-03
9186,2025-03-14,Display,Mobile,Middle East,5,3,0,0,2025-03
9187,2025-03-14,Display,Desktop,North America,29,20,3,1,2025-03
9188,2025-03-14,Display,Desktop,Europe,15,11,1,0,2025-03
9189,2025-03-14,Display,Desktop,Southeast Asia,11,7,1,0,2025-03
9190,2025-03-14,Display,Desktop,East Asia,8,5,1,0,2025-03
9191,2025-03-14,Display,Desktop,Oceania,4,3,0,0,2025-03
9192,2025-03-14,Display,Desktop,Middle East,2,1,0,0,2025-03
9193,2025-03-14,Display,Tablet,North America,10,6,1,0,2025-03
9194,2025-03-14,Display,Tablet,Europe,5,3,0,0,2025-03
9195,2025-03-14,Display,Tablet,Southeast Asia,4,3,0,0,2025-03
9196,2025-03-14,Display,Tablet,East Asia,3,2,0,0,2025-03
9197,2025-03-14,Display,Tablet,Oceania,2,1,0,0,2025-03
9198,2025-03-14,Display,Tablet,Middle East,1,0,0,0,2025-03
9199,2025-03-15,Organic Search,Mobile,North America,436,300,57,26,2025-03
9200,2025-03-15,Organic Search,Mobile,Europe,301,228,30,17,2025-03
9201,2025-03-15,Organic Search,Mobile,Southeast Asia,210,151,25,9,2025-03
9202,2025-03-15,Organic Search,Mobile,East Asia,144,96,14,5,2025-03
9203,2025-03-15,Organic Search,Mobile,Oceania,76,58,7,2,2025-03
9204,2025-03-15,Organic Search,Mobile,Middle East,48,39,5,2,2025-03
9205,2025-03-15,Organic Search,Desktop,North America,248,196,29,16,2025-03
9206,2025-03-15,Organic Search,Desktop,Europe,131,102,12,4,2025-03
9207,2025-03-15,Organic Search,Desktop,Southeast Asia,114,76,11,5,2025-03
9208,2025-03-15,Organic Search,Desktop,East Asia,72,57,8,3,2025-03
9209,2025-03-15,Organic Search,Desktop,Oceania,34,26,4,1,2025-03
9210,2025-03-15,Organic Search,Desktop,Middle East,20,16,2,0,2025-03
9211,2025-03-15,Organic Search,Tablet,North America,95,66,7,2,2025-03
9212,2025-03-15,Organic Search,Tablet,Europe,52,36,7,3,2025-03
9213,2025-03-15,Organic Search,Tablet,Southeast Asia,45,35,4,2,2025-03
9214,2025-03-15,Organic Search,Tablet,East Asia,27,19,2,0,2025-03
9215,2025-03-15,Organic Search,Tablet,Oceania,13,9,1,0,2025-03
9216,2025-03-15,Organic Search,Tablet,Middle East,8,5,0,0,2025-03
9217,2025-03-15,Paid Search,Mobile,North America,251,205,28,15,2025-03
9218,2025-03-15,Paid Search,Mobile,Europe,132,107,10,3,2025-03
9219,2025-03-15,Paid Search,Mobile,Southeast Asia,145,104,15,5,2025-03
9220,2025-03-15,Paid Search,Mobile,East Asia,81,58,7,3,2025-03
9221,2025-03-15,Paid Search,Mobile,Oceania,40,31,3,1,2025-03
9222,2025-03-15,Paid Search,Mobile,Middle East,32,25,3,1,2025-03
9223,2025-03-15,Paid Search,Desktop,North America,137,108,13,5,2025-03
9224,2025-03-15,Paid Search,Desktop,Europe,74,58,9,4,2025-03
9225,2025-03-15,Paid Search,Desktop,Southeast Asia,52,39,6,2,2025-03
9226,2025-03-15,Paid Search,Desktop,East Asia,31,24,3,1,2025-03
9227,2025-03-15,Paid Search,Desktop,Oceania,22,15,2,0,2025-03
9228,2025-03-15,Paid Search,Desktop,Middle East,14,10,1,0,2025-03
9229,2025-03-15,Paid Search,Tablet,North America,55,37,7,3,2025-03
9230,2025-03-15,Paid Search,Tablet,Europe,23,15,2,0,2025-03
9231,2025-03-15,Paid Search,Tablet,Southeast Asia,20,13,2,0,2025-03
9232,2025-03-15,Paid Search,Tablet,East Asia,16,11,1,0,2025-03
9233,2025-03-15,Paid Search,Tablet,Oceania,8,6,0,0,2025-03
9234,2025-03-15,Paid Search,Tablet,Middle East,4,3,0,0,2025-03
9235,2025-03-15,Direct,Mobile,North America,224,159,21,7,2025-03
9236,2025-03-15,Direct,Mobile,Europe,159,128,17,6,2025-03
9237,2025-03-15,Direct,Mobile,Southeast Asia,99,78,13,4,2025-03
9238,2025-03-15,Direct,Mobile,East Asia,65,46,9,4,2025-03
9239,2025-03-15,Direct,Mobile,Oceania,40,32,5,2,2025-03
9240,2025-03-15,Direct,Mobile,Middle East,28,20,3,1,2025-03
9241,2025-03-15,Direct,Desktop,North America,131,89,11,5,2025-03
9242,2025-03-15,Direct,Desktop,Europe,57,39,7,3,2025-03
9243,2025-03-15,Direct,Desktop,Southeast Asia,57,46,6,2,2025-03
9244,2025-03-15,Direct,Desktop,East Asia,30,23,3,1,2025-03
9245,2025-03-15,Direct,Desktop,Oceania,19,13,2,0,2025-03
9246,2025-03-15,Direct,Desktop,Middle East,10,7,1,0,2025-03
9247,2025-03-15,Direct,Tablet,North America,45,36,5,1,2025-03
9248,2025-03-15,Direct,Tablet,Europe,22,17,2,0,2025-03
9249,2025-03-15,Direct,Tablet,Southeast Asia,24,16,2,0,2025-03
9250,2025-03-15,Direct,Tablet,East Asia,11,7,1,0,2025-03
9251,2025-03-15,Direct,Tablet,Oceania,8,5,1,0,2025-03
9252,2025-03-15,Direct,Tablet,Middle East,5,4,0,0,2025-03
9253,2025-03-15,Email,Mobile,North America,188,144,16,6,2025-03
9254,2025-03-15,Email,Mobile,Europe,88,66,10,5,2025-03
9255,2025-03-15,Email,Mobile,Southeast Asia,96,67,9,4,2025-03
9256,2025-03-15,Email,Mobile,East Asia,46,34,6,2,2025-03
9257,2025-03-15,Email,Mobile,Oceania,29,22,2,1,2025-03
9258,2025-03-15,Email,Mobile,Middle East,18,13,2,0,2025-03
9259,2025-03-15,Email,Desktop,North America,95,71,11,6,2025-03
9260,2025-03-15,Email,Desktop,Europe,43,34,5,2,2025-03
9261,2025-03-15,Email,Desktop,Southeast Asia,35,24,2,0,2025-03
9262,2025-03-15,Email,Desktop,East Asia,24,16,2,1,2025-03
9263,2025-03-15,Email,Desktop,Oceania,10,7,0,0,2025-03
9264,2025-03-15,Email,Desktop,Middle East,9,7,0,0,2025-03
9265,2025-03-15,Email,Tablet,North America,38,27,3,1,2025-03
9266,2025-03-15,Email,Tablet,Europe,16,12,1,0,2025-03
9267,2025-03-15,Email,Tablet,Southeast Asia,16,12,2,0,2025-03
9268,2025-03-15,Email,Tablet,East Asia,10,7,0,0,2025-03
9269,2025-03-15,Email,Tablet,Oceania,4,2,0,0,2025-03
9270,2025-03-15,Email,Tablet,Middle East,3,2,0,0,2025-03
9271,2025-03-15,Social,Mobile,North America,245,189,24,12,2025-03
9272,2025-03-15,Social,Mobile,Europe,131,89,18,8,2025-03
9273,2025-03-15,Social,Mobile,Southeast Asia,87,60,12,4,2025-03
9274,2025-03-15,Social,Mobile,East Asia,50,36,5,2,2025-03
9275,2025-03-15,Social,Mobile,Oceania,27,22,3,1,2025-03
9276,2025-03-15,Social,Mobile,Middle East,25,19,3,1,2025-03
9277,2025-03-15,Social,Desktop,North America,109,77,12,4,2025-03
9278,2025-03-15,Social,Desktop,Europe,61,49,7,3,2025-03
9279,2025-03-15,Social,Desktop,Southeast Asia,40,26,4,2,2025-03
9280,2025-03-15,Social,Desktop,East Asia,29,23,3,1,2025-03
9281,2025-03-15,Social,Desktop,Oceania,16,12,1,0,2025-03
9282,2025-03-15,Social,Desktop,Middle East,8,5,0,0,2025-03
9283,2025-03-15,Social,Tablet,North America,37,26,3,1,2025-03
9284,2025-03-15,Social,Tablet,Europe,21,16,1,0,2025-03
9285,2025-03-15,Social,Tablet,Southeast Asia,17,11,1,0,2025-03
9286,2025-03-15,Social,Tablet,East Asia,10,7,0,0,2025-03
9287,2025-03-15,Social,Tablet,Oceania,6,4,0,0,2025-03
9288,2025-03-15,Social,Tablet,Middle East,3,2,0,0,2025-03
9289,2025-03-15,Affiliate,Mobile,North America,137,107,11,4,2025-03
9290,2025-03-15,Affiliate,Mobile,Europe,54,39,6,3,2025-03
9291,2025-03-15,Affiliate,Mobile,Southeast Asia,57,43,4,1,2025-03
9292,2025-03-15,Affiliate,Mobile,East Asia,30,23,3,1,2025-03
9293,2025-03-15,Affiliate,Mobile,Oceania,17,11,2,0,2025-03
9294,2025-03-15,Affiliate,Mobile,Middle East,10,7,1,0,2025-03
9295,2025-03-15,Affiliate,Desktop,North America,61,45,6,3,2025-03
9296,2025-03-15,Affiliate,Desktop,Europe,27,18,3,1,2025-03
9297,2025-03-15,Affiliate,Desktop,Southeast Asia,26,20,3,1,2025-03
9298,2025-03-15,Affiliate,Desktop,East Asia,15,11,1,0,2025-03
9299,2025-03-15,Affiliate,Desktop,Oceania,6,4,0,0,2025-03
9300,2025-03-15,Affiliate,Desktop,Middle East,4,2,0,0,2025-03
9301,2025-03-15,Affiliate,Tablet,North America,20,14,2,0,2025-03
9302,2025-03-15,Affiliate,Tablet,Europe,11,8,1,0,2025-03
9303,2025-03-15,Affiliate,Tablet,Southeast Asia,9,6,1,0,2025-03
9304,2025-03-15,Affiliate,Tablet,East Asia,5,3,0,0,2025-03
9305,2025-03-15,Affiliate,Tablet,Oceania,3,2,0,0,2025-03
9306,2025-03-15,Affiliate,Tablet,Middle East,2,1,0,0,2025-03
9307,2025-03-15,Display,Mobile,North America,69,49,7,3,2025-03
9308,2025-03-15,Display,Mobile,Europe,38,28,2,1,2025-03
9309,2025-03-15,Display,Mobile,Southeast Asia,25,17,3,1,2025-03
9310,2025-03-15,Display,Mobile,East Asia,18,12,2,0,2025-03
9311,2025-03-15,Display,Mobile,Oceania,8,5,0,0,2025-03
9312,2025-03-15,Display,Mobile,Middle East,7,5,0,0,2025-03
9313,2025-03-15,Display,Desktop,North America,33,26,4,2,2025-03
9314,2025-03-15,Display,Desktop,Europe,16,12,1,0,2025-03
9315,2025-03-15,Display,Desktop,Southeast Asia,16,11,1,0,2025-03
9316,2025-03-15,Display,Desktop,East Asia,9,6,0,0,2025-03
9317,2025-03-15,Display,Desktop,Oceania,4,2,0,0,2025-03
9318,2025-03-15,Display,Desktop,Middle East,2,1,0,0,2025-03
9319,2025-03-15,Display,Tablet,North America,10,6,1,0,2025-03
9320,2025-03-15,Display,Tablet,Europe,7,5,0,0,2025-03
9321,2025-03-15,Display,Tablet,Southeast Asia,5,3,0,0,2025-03
9322,2025-03-15,Display,Tablet,East Asia,3,2,0,0,2025-03
9323,2025-03-15,Display,Tablet,Oceania,2,1,0,0,2025-03
9324,2025-03-15,Display,Tablet,Middle East,1,0,0,0,2025-03
9325,2025-03-16,Organic Search,Mobile,North America,527,404,45,22,2025-03
9326,2025-03-16,Organic Search,Mobile,Europe,311,247,35,17,2025-03
9327,2025-03-16,Organic Search,Mobile,Southeast Asia,214,166,29,12,2025-03
9328,2025-03-16,Organic Search,Mobile,East Asia,123,100,17,7,2025-03
9329,2025-03-16,Organic Search,Mobile,Oceania,90,73,12,6,2025-03
9330,2025-03-16,Organic Search,Mobile,Middle East,51,38,4,1,2025-03
9331,2025-03-16,Organic Search,Desktop,North America,207,157,29,13,2025-03
9332,2025-03-16,Organic Search,Desktop,Europe,142,103,15,8,2025-03
9333,2025-03-16,Organic Search,Desktop,Southeast Asia,130,90,12,4,2025-03
9334,2025-03-16,Organic Search,Desktop,East Asia,71,54,6,2,2025-03
9335,2025-03-16,Organic Search,Desktop,Oceania,40,29,3,1,2025-03
9336,2025-03-16,Organic Search,Desktop,Middle East,27,21,2,0,2025-03
9337,2025-03-16,Organic Search,Tablet,North America,85,64,12,4,2025-03
9338,2025-03-16,Organic Search,Tablet,Europe,58,44,5,1,2025-03
9339,2025-03-16,Organic Search,Tablet,Southeast Asia,45,36,6,2,2025-03
9340,2025-03-16,Organic Search,Tablet,East Asia,23,15,1,0,2025-03
9341,2025-03-16,Organic Search,Tablet,Oceania,14,10,1,0,2025-03
9342,2025-03-16,Organic Search,Tablet,Middle East,10,7,1,0,2025-03
9343,2025-03-16,Paid Search,Mobile,North America,364,251,32,17,2025-03
9344,2025-03-16,Paid Search,Mobile,Europe,175,119,18,9,2025-03
9345,2025-03-16,Paid Search,Mobile,Southeast Asia,143,113,11,4,2025-03
9346,2025-03-16,Paid Search,Mobile,East Asia,94,63,10,4,2025-03
9347,2025-03-16,Paid Search,Mobile,Oceania,48,32,4,1,2025-03
9348,2025-03-16,Paid Search,Mobile,Middle East,36,27,5,2,2025-03
9349,2025-03-16,Paid Search,Desktop,North America,159,114,18,7,2025-03
9350,2025-03-16,Paid Search,Desktop,Europe,63,45,5,1,2025-03
9351,2025-03-16,Paid Search,Desktop,Southeast Asia,64,49,8,3,2025-03
9352,2025-03-16,Paid Search,Desktop,East Asia,40,27,4,1,2025-03
9353,2025-03-16,Paid Search,Desktop,Oceania,23,18,2,1,2025-03
9354,2025-03-16,Paid Search,Desktop,Middle East,13,10,1,0,2025-03
9355,2025-03-16,Paid Search,Tablet,North America,62,45,6,2,2025-03
9356,2025-03-16,Paid Search,Tablet,Europe,25,18,1,0,2025-03
9357,2025-03-16,Paid Search,Tablet,Southeast Asia,23,16,2,1,2025-03
9358,2025-03-16,Paid Search,Tablet,East Asia,16,12,1,0,2025-03
9359,2025-03-16,Paid Search,Tablet,Oceania,9,6,0,0,2025-03
9360,2025-03-16,Paid Search,Tablet,Middle East,5,3,0,0,2025-03
9361,2025-03-16,Direct,Mobile,North America,283,217,27,10,2025-03
9362,2025-03-16,Direct,Mobile,Europe,158,107,20,10,2025-03
9363,2025-03-16,Direct,Mobile,Southeast Asia,148,116,18,7,2025-03
9364,2025-03-16,Direct,Mobile,East Asia,84,65,12,5,2025-03
9365,2025-03-16,Direct,Mobile,Oceania,47,36,3,1,2025-03
9366,2025-03-16,Direct,Mobile,Middle East,25,19,3,1,2025-03
9367,2025-03-16,Direct,Desktop,North America,148,100,16,7,2025-03
9368,2025-03-16,Direct,Desktop,Europe,72,52,8,4,2025-03
9369,2025-03-16,Direct,Desktop,Southeast Asia,49,38,5,2,2025-03
9370,2025-03-16,Direct,Desktop,East Asia,35,24,3,1,2025-03
9371,2025-03-16,Direct,Desktop,Oceania,18,13,2,0,2025-03
9372,2025-03-16,Direct,Desktop,Middle East,13,9,0,0,2025-03
9373,2025-03-16,Direct,Tablet,North America,57,43,8,4,2025-03
9374,2025-03-16,Direct,Tablet,Europe,29,23,2,0,2025-03
9375,2025-03-16,Direct,Tablet,Southeast Asia,19,14,2,1,2025-03
9376,2025-03-16,Direct,Tablet,East Asia,11,8,1,0,2025-03
9377,2025-03-16,Direct,Tablet,Oceania,7,4,0,0,2025-03
9378,2025-03-16,Direct,Tablet,Middle East,5,4,0,0,2025-03
9379,2025-03-16,Email,Mobile,North America,180,142,15,8,2025-03
9380,2025-03-16,Email,Mobile,Europe,87,61,11,6,2025-03
9381,2025-03-16,Email,Mobile,Southeast Asia,100,81,11,4,2025-03
9382,2025-03-16,Email,Mobile,East Asia,55,39,5,1,2025-03
9383,2025-03-16,Email,Mobile,Oceania,28,18,3,1,2025-03
9384,2025-03-16,Email,Mobile,Middle East,16,11,2,0,2025-03
9385,2025-03-16,Email,Desktop,North America,82,60,6,2,2025-03
9386,2025-03-16,Email,Desktop,Europe,49,37,4,1,2025-03
9387,2025-03-16,Email,Desktop,Southeast Asia,41,27,4,1,2025-03
9388,2025-03-16,Email,Desktop,East Asia,22,16,1,0,2025-03
9389,2025-03-16,Email,Desktop,Oceania,12,9,1,0,2025-03
9390,2025-03-16,Email,Desktop,Middle East,7,5,0,0,2025-03
9391,2025-03-16,Email,Tablet,North America,37,25,3,1,2025-03
9392,2025-03-16,Email,Tablet,Europe,17,12,1,0,2025-03
9393,2025-03-16,Email,Tablet,Southeast Asia,18,12,1,0,2025-03
9394,2025-03-16,Email,Tablet,East Asia,8,5,1,0,2025-03
9395,2025-03-16,Email,Tablet,Oceania,5,3,0,0,2025-03
9396,2025-03-16,Email,Tablet,Middle East,4,2,0,0,2025-03
9397,2025-03-16,Social,Mobile,North America,253,180,19,7,2025-03
9398,2025-03-16,Social,Mobile,Europe,130,94,10,3,2025-03
9399,2025-03-16,Social,Mobile,Southeast Asia,85,60,8,3,2025-03
9400,2025-03-16,Social,Mobile,East Asia,65,51,8,4,2025-03
9401,2025-03-16,Social,Mobile,Oceania,33,22,3,1,2025-03
9402,2025-03-16,Social,Mobile,Middle East,24,17,2,0,2025-03
9403,2025-03-16,Social,Desktop,North America,110,86,12,4,2025-03
9404,2025-03-16,Social,Desktop,Europe,58,41,5,2,2025-03
9405,2025-03-16,Social,Desktop,Southeast Asia,53,41,5,2,2025-03
9406,2025-03-16,Social,Desktop,East Asia,30,20,2,0,2025-03
9407,2025-03-16,Social,Desktop,Oceania,13,8,1,0,2025-03
9408,2025-03-16,Social,Desktop,Middle East,9,7,1,0,2025-03
9409,2025-03-16,Social,Tablet,North America,47,36,4,1,2025-03
9410,2025-03-16,Social,Tablet,Europe,17,11,2,1,2025-03
9411,2025-03-16,Social,Tablet,Southeast Asia,20,14,2,0,2025-03
9412,2025-03-16,Social,Tablet,East Asia,12,8,0,0,2025-03
9413,2025-03-16,Social,Tablet,Oceania,6,4,0,0,2025-03
9414,2025-03-16,Social,Tablet,Middle East,4,2,0,0,2025-03
9415,2025-03-16,Affiliate,Mobile,North America,125,89,13,5,2025-03
9416,2025-03-16,Affiliate,Mobile,Europe,63,42,7,3,2025-03
9417,2025-03-16,Affiliate,Mobile,Southeast Asia,53,40,6,2,2025-03
9418,2025-03-16,Affiliate,Mobile,East Asia,29,20,3,1,2025-03
9419,2025-03-16,Affiliate,Mobile,Oceania,18,12,1,0,2025-03
9420,2025-03-16,Affiliate,Mobile,Middle East,13,10,1,0,2025-03
9421,2025-03-16,Affiliate,Desktop,North America,58,46,7,3,2025-03
9422,2025-03-16,Affiliate,Desktop,Europe,25,17,3,1,2025-03
9423,2025-03-16,Affiliate,Desktop,Southeast Asia,25,19,2,0,2025-03
9424,2025-03-16,Affiliate,Desktop,East Asia,17,13,1,0,2025-03
9425,2025-03-16,Affiliate,Desktop,Oceania,7,5,0,0,2025-03
9426,2025-03-16,Affiliate,Desktop,Middle East,5,3,0,0,2025-03
9427,2025-03-16,Affiliate,Tablet,North America,25,17,2,0,2025-03
9428,2025-03-16,Affiliate,Tablet,Europe,10,7,0,0,2025-03
9429,2025-03-16,Affiliate,Tablet,Southeast Asia,11,8,1,0,2025-03
9430,2025-03-16,Affiliate,Tablet,East Asia,6,4,0,0,2025-03
9431,2025-03-16,Affiliate,Tablet,Oceania,3,2,0,0,2025-03
9432,2025-03-16,Affiliate,Tablet,Middle East,2,1,0,0,2025-03
9433,2025-03-16,Display,Mobile,North America,63,50,5,2,2025-03
9434,2025-03-16,Display,Mobile,Europe,39,26,3,1,2025-03
9435,2025-03-16,Display,Mobile,Southeast Asia,26,21,3,1,2025-03
9436,2025-03-16,Display,Mobile,East Asia,20,14,2,1,2025-03
9437,2025-03-16,Display,Mobile,Oceania,10,7,1,0,2025-03
9438,2025-03-16,Display,Mobile,Middle East,6,4,0,0,2025-03
9439,2025-03-16,Display,Desktop,North America,30,23,3,1,2025-03
9440,2025-03-16,Display,Desktop,Europe,17,12,1,0,2025-03
9441,2025-03-16,Display,Desktop,Southeast Asia,14,10,1,0,2025-03
9442,2025-03-16,Display,Desktop,East Asia,8,6,1,0,2025-03
9443,2025-03-16,Display,Desktop,Oceania,4,2,0,0,2025-03
9444,2025-03-16,Display,Desktop,Middle East,3,2,0,0,2025-03
9445,2025-03-16,Display,Tablet,North America,11,8,1,0,2025-03
9446,2025-03-16,Display,Tablet,Europe,7,5,1,0,2025-03
9447,2025-03-16,Display,Tablet,Southeast Asia,4,3,0,0,2025-03
9448,2025-03-16,Display,Tablet,East Asia,2,1,0,0,2025-03
9449,2025-03-16,Display,Tablet,Oceania,2,1,0,0,2025-03
9450,2025-03-16,Display,Tablet,Middle East,1,0,0,0,2025-03
9451,2025-03-17,Organic Search,Mobile,North America,399,317,54,26,2025-03
9452,2025-03-17,Organic Search,Mobile,Europe,247,180,30,16,2025-03
9453,2025-03-17,Organic Search,Mobile,Southeast Asia,239,167,25,10,2025-03
9454,2025-03-17,Organic Search,Mobile,East Asia,114,80,11,3,2025-03
9455,2025-03-17,Organic Search,Mobile,Oceania,66,53,5,2,2025-03
9456,2025-03-17,Organic Search,Mobile,Middle East,49,38,5,1,2025-03
9457,2025-03-17,Organic Search,Desktop,North America,255,202,25,10,2025-03
9458,2025-03-17,Organic Search,Desktop,Europe,127,89,13,7,2025-03
9459,2025-03-17,Organic Search,Desktop,Southeast Asia,96,78,11,4,2025-03
9460,2025-03-17,Organic Search,Desktop,East Asia,50,38,6,3,2025-03
9461,2025-03-17,Organic Search,Desktop,Oceania,28,22,3,1,2025-03
9462,2025-03-17,Organic Search,Desktop,Middle East,23,15,1,0,2025-03
9463,2025-03-17,Organic Search,Tablet,North America,98,74,12,4,2025-03
9464,2025-03-17,Organic Search,Tablet,Europe,39,27,3,1,2025-03
9465,2025-03-17,Organic Search,Tablet,Southeast Asia,42,31,5,2,2025-03
9466,2025-03-17,Organic Search,Tablet,East Asia,23,18,2,1,2025-03
9467,2025-03-17,Organic Search,Tablet,Oceania,13,9,0,0,2025-03
9468,2025-03-17,Organic Search,Tablet,Middle East,9,6,0,0,2025-03
9469,2025-03-17,Paid Search,Mobile,North America,299,203,41,17,2025-03
9470,2025-03-17,Paid Search,Mobile,Europe,168,118,22,10,2025-03
9471,2025-03-17,Paid Search,Mobile,Southeast Asia,115,93,11,4,2025-03
9472,2025-03-17,Paid Search,Mobile,East Asia,65,48,7,3,2025-03
9473,2025-03-17,Paid Search,Mobile,Oceania,45,32,3,1,2025-03
9474,2025-03-17,Paid Search,Mobile,Middle East,32,23,3,1,2025-03
